Title = 50 maize 50 intercrop

year  runoff drain soil_loss es rain maize_harvest bean_harvest profit
()  (mm) (mm) (mm) (mm) (mm) (tonnes-wet) (tonnes-wet) ($)
1979  54.47 83.08 35.52 428.54 621.30 1.421 * 428.32
1980  206.45 301.80 110.02 854.92 1602.60 3.730 2.797 1774.94
1981  334.47 450.37 192.09 991.64 2078.20 3.569 3.047 1844.24
1982  285.88 646.00 136.03 1031.12 2244.80 4.775 2.652 2020.84
1983  219.00 422.66 105.81 994.41 1920.50 4.665 1.817 1640.37
1984  170.91 364.25 65.99 858.59 1637.90 4.877 1.494 1546.48
1985  336.53 557.71 204.96 940.65 2068.50 3.317 3.314 1869.94
1986  225.20 309.72 100.51 941.16 1785.90 4.371 2.713 1923.99
1987  272.38 468.20 136.22 1003.67 2003.70 5.032 1.999 1806.21
1988  523.47 727.25 284.64 1079.33 2608.50 3.398 2.850 1700.03
1989  268.52 483.18 140.17 925.70 1996.00 3.613 2.866 1757.52
1990  342.08 451.12 208.09 991.60 2009.30 3.291 2.186 1385.46
1991  288.63 581.42 144.07 990.99 2122.00 3.391 2.550 1563.03
1992  181.93 419.48 69.42 914.76 1754.00 3.433 2.460 1546.15
1993  121.78 237.65 72.67 910.54 1498.80 3.822 1.935 1431.02
1994  271.72 426.09 135.71 939.09 1954.10 3.745 2.613 1693.15
1995  288.49 454.49 169.78 1001.48 2007.00 3.676 1.745 1307.34
1996  265.82 537.88 147.04 1055.05 2095.60 3.167 2.314 1387.27
1997  197.46 350.70 99.85 810.50 1618.90 0.834 2.282 662.92
1998  267.33 491.05 108.11 942.68 1911.00 5.884 1.652 1947.37
1999  154.97 315.08 90.93 1000.51 1749.70 2.975 2.464 1414.68
2000  96.21 165.47 52.76 885.00 1414.20 3.445 1.605 1180.03
2001  220.23 556.45 112.78 1040.97 2050.90 3.104 2.334 1387.27
2002  348.54 510.96 159.76 996.60 2145.40 3.236 1.921 1250.25
2003  388.31 686.11 193.10 863.66 2110.30 2.945 1.924 1154.78
2004  111.78 242.18 55.94 969.57 1554.00 3.419 1.110 934.48
2005  186.62 302.77 119.79 849.88 1505.00 2.638 1.573 915.59
2006  383.52 624.31 221.84 1018.03 2343.80 2.716 2.068 1143.55
2007  374.33 476.15 202.78 999.95 2035.51 2.831 1.347 879.19
2008  236.04 463.61 102.31 1020.72 1970.00 2.630 2.153 1178.14
2009  232.90 446.60 94.46 1047.95 1970.00 3.139 1.343 971.52
2010  175.19 240.41 55.36 820.39 1470.90 2.724 1.357 856.65
