Title = 75 intercrop 25 maize

year  runoff drain soil_loss es rain maize_harvest bean_harvest profit
()  (mm) (mm) (mm) (mm) (mm) (tonnes-wet) (tonnes-wet) ($)
1979  52.05 82.57 31.17 415.69 621.30 0.000 * 37.25
1980  205.97 273.11 116.04 791.09 1602.60 2.933 5.686 2801.33
1981  338.78 452.19 191.25 936.03 2078.20 6.513 2.781 2596.06
1982  319.84 661.97 165.06 979.16 2244.80 6.986 1.082 1985.68
1983  231.60 510.90 107.88 946.72 1920.50 5.313 0.760 1336.68
1984  186.90 412.23 73.97 827.58 1637.90 5.401 0.649 1319.08
1985  325.06 520.72 190.28 873.65 2068.50 0.001 5.488 1902.97
1986  232.89 326.74 100.18 883.13 1785.90 6.849 2.215 2445.26
1987  294.73 447.60 153.63 949.03 2003.70 6.552 1.598 2097.37
1988  507.98 672.92 257.20 1015.52 2608.50 5.088 4.176 2851.43
1989  279.49 436.17 145.27 860.61 1996.00 5.631 3.067 2478.89
1990  356.82 439.01 226.26 937.62 2009.30 5.865 2.016 2048.03
1991  293.45 581.16 145.94 934.77 2122.00 6.038 2.273 2218.23
1992  214.98 399.79 97.33 852.29 1754.00 5.909 2.099 2107.15
1993  132.67 241.44 78.02 868.02 1498.80 5.968 1.900 2069.26
1994  278.04 328.86 143.21 875.12 1954.10 4.949 3.763 2628.49
1995  295.03 446.71 173.82 926.22 2007.00 6.665 1.610 2138.24
1996  271.31 494.19 149.30 974.72 2095.60 4.972 3.306 2422.82
1997  210.07 305.65 111.72 754.53 1618.90 3.442 2.110 1351.25
1998  271.35 473.21 112.24 870.11 1911.00 5.626 2.614 2362.38
1999  162.09 323.20 92.53 928.48 1749.70 6.321 2.265 2308.66
2000  95.90 219.33 47.48 849.53 1414.20 5.472 0.602 1313.80
2001  229.34 509.19 125.41 965.09 2050.90 4.948 3.300 2400.01
2002  369.41 491.18 178.32 925.47 2145.40 6.089 1.877 2081.97
2003  407.06 724.31 200.05 833.48 2110.30 3.255 0.644 676.72
2004  103.76 246.78 46.31 907.93 1554.00 1.480 2.367 957.60
2005  196.60 333.42 120.91 820.11 1505.00 3.334 0.652 702.96
2006  386.29 613.55 231.98 916.56 2343.80 3.241 5.050 2580.31
2007  387.77 507.32 209.94 955.62 2035.51 4.569 0.629 1062.12
2008  246.12 398.99 124.31 950.26 1970.00 5.167 3.058 2363.06
2009  241.48 497.17 96.40 1007.37 1970.00 4.593 0.486 1007.53
2010  183.76 293.80 57.34 793.76 1470.90 2.817 0.629 548.24
