Title = 75 intercrop 25 maize

Date         season paddock crop yield   biomass
(dd/mm/yyyy)     ()      ()   () (kg/ha) (kg/ha)
14/12/1979 SR paddock1 maize 1956 4634
14/12/1979 SR paddock2 maize 1956 4634
18/07/1980 LR paddock1 bean 3847 10420
18/07/1980 LR paddock1 maize 2721 5546
18/07/1980 LR paddock2 maize 4455 8876
08/12/1980 SR paddock1 maize 3777 7238
08/12/1980 SR paddock2 maize 1381 4318
25/06/1981 LR paddock1 bean 3570 9278
25/06/1981 LR paddock1 maize 3207 6267
25/06/1981 LR paddock2 maize 2978 5829
11/12/1981 SR paddock1 maize 4325 9218
11/12/1981 SR paddock2 maize 2036 5177
01/07/1982 LR paddock1 bean 1230 3460
01/07/1982 LR paddock1 maize 4538 9461
01/07/1982 LR paddock2 maize 4218 7799
20/12/1982 SR paddock1 maize 3659 7596
20/12/1982 SR paddock2 maize 1823 5165
18/06/1983 LR paddock1 bean 888 3609
18/06/1983 LR paddock1 maize 3853 7392
19/06/1983 LR paddock2 maize 3534 6790
12/12/1983 SR paddock1 maize 3518 6769
12/12/1983 SR paddock2 maize 2138 5042
18/06/1984 LR paddock1 bean 763 2969
18/06/1984 LR paddock1 maize 4148 7585
18/06/1984 LR paddock2 maize 3744 6801
08/12/1984 SR paddock1 maize 3222 6213
08/12/1984 SR paddock2 maize 2371 5047
01/07/1985 LR paddock1 bean 5080 12685
01/07/1985 LR paddock1 maize 2103 4913
02/07/1985 LR paddock2 maize 2634 5479
10/12/1985 SR paddock1 maize 4013 8134
10/12/1985 SR paddock2 maize 1753 4588
01/07/1986 LR paddock1 bean 1865 5089
01/07/1986 LR paddock1 maize 4364 8660
01/07/1986 LR paddock2 maize 3677 6931
11/12/1986 SR paddock1 maize 4176 8258
11/12/1986 SR paddock2 maize 2016 4847
22/06/1987 LR paddock1 bean 1943 6449
22/06/1987 LR paddock1 maize 3350 6427
22/06/1987 LR paddock2 maize 2884 5751
17/12/1987 SR paddock1 maize 4623 9947
17/12/1987 SR paddock2 maize 2731 5599
25/06/1988 LR paddock1 bean 4033 11420
25/06/1988 LR paddock1 maize 2800 5623
26/06/1988 LR paddock2 maize 2780 5648
11/12/1988 SR paddock1 maize 4572 9705
11/12/1988 SR paddock2 maize 1925 4550
27/06/1989 LR paddock1 bean 3436 8897
27/06/1989 LR paddock1 maize 2864 5957
27/06/1989 LR paddock2 maize 1931 5093
11/12/1989 SR paddock1 maize 4259 8990
11/12/1989 SR paddock2 maize 1245 4364
23/06/1990 LR paddock1 bean 2191 6529
23/06/1990 LR paddock1 maize 3579 6585
24/06/1990 LR paddock2 maize 2610 5163
14/12/1990 SR paddock1 maize 3853 8162
14/12/1990 SR paddock2 maize 1378 4716
06/07/1991 LR paddock1 bean 2662 7195
06/07/1991 LR paddock1 maize 3425 6482
06/07/1991 LR paddock2 maize 2456 5170
13/12/1991 SR paddock1 maize 4116 8277
13/12/1991 SR paddock2 maize 1419 4439
11/07/1992 LR paddock1 bean 2482 6860
11/07/1992 LR paddock1 maize 4037 7541
11/07/1992 LR paddock2 maize 3327 6237
13/12/1992 SR paddock1 maize 3698 7327
13/12/1992 SR paddock2 maize 693 3876
20/06/1993 LR paddock1 bean 2140 7632
20/06/1993 LR paddock1 maize 2973 5919
21/06/1993 LR paddock2 maize 2355 5087
13/12/1993 SR paddock1 maize 4441 8916
13/12/1993 SR paddock2 maize 1672 4580
27/06/1994 LR paddock1 bean 3219 9342
