ApsimVersion = 7.6
Title = Wheat Lucerne Rotation
           Date       whtYield lucerneBiomass            alw  stocking_rate
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)           (kg)    (beasts/ha)
     01/01/1940            0.0            0.0          0.000          0.000
     01/02/1940            0.0            0.0          0.000          0.000
     01/03/1940            0.0           30.8          0.000          0.000
     01/04/1940            0.0         1538.2          0.000          0.000
     01/05/1940            0.0         2343.1          0.000          0.000
     01/06/1940            0.0         1974.7        202.444          0.400
     01/07/1940            0.0         1332.9        196.981          0.400
     01/08/1940            0.0          634.9        189.520          0.400
     01/09/1940            0.0          327.0        182.250          0.400
     01/10/1940            0.0          200.1        178.878          0.400
     01/11/1940            0.0          138.3        164.578          0.400
     01/12/1940            0.0          122.8        145.376          0.400
     01/01/1941            0.0         1045.8        158.434          0.400
     01/02/1941            0.0         3281.3        181.531          0.400
     01/03/1941            0.0         3788.7        202.097          0.400
     01/04/1941            0.0         3533.1        213.382          0.400
     01/05/1941            0.0         3213.9        224.184          0.400
     01/06/1941            0.0         2480.5        234.919          0.400
     01/07/1941            0.0         2124.7        237.399          0.400
     01/08/1941            0.0         1706.8        239.865          0.400
     01/09/1941            0.0         1249.0        242.486          0.400
     01/10/1941            0.0          913.7        252.601          0.400
     01/11/1941            0.0          686.0        262.886          0.400
     01/12/1941            0.0          500.4        273.047          0.400
     01/01/1942            0.0          339.5        289.498          0.400
     01/02/1942            0.0            0.0          0.000          0.000
     01/03/1942            0.0            0.0          0.000          0.000
     01/04/1942            0.0            0.0          0.000          0.000
     01/05/1942            0.0            0.0          0.000          0.000
     01/06/1942            0.0            0.0          0.000          0.000
     01/07/1942            0.0            0.0          0.000          0.000
     01/08/1942            0.0            0.0          0.000          0.000
     01/09/1942            0.0            0.0          0.000          0.000
     01/10/1942          593.6            0.0          0.000          0.000
     12/10/1942          596.3            0.0          0.000          0.000
     01/11/1942            0.0            0.0          0.000          0.000
     01/12/1942            0.0           28.2          0.000          0.000
     01/01/1943            0.0         1469.9          0.000          0.000
     01/02/1943            0.0         3046.2          0.000          0.000
     01/03/1943            0.0         2870.1        213.096          0.400
     01/04/1943            0.0         2239.3        216.969          0.400
     01/05/1943            0.0         1205.7        219.036          0.400
     01/06/1943            0.0          387.1        221.062          0.400
     01/07/1943            0.0          362.0        218.601          0.400
     01/08/1943            0.0          249.9        214.563          0.400
     01/09/1943            0.0          214.4        203.076          0.400
     01/10/1943            0.0          249.8        202.845          0.400
     01/11/1943            0.0          188.8        194.783          0.400
     01/12/1943            0.0         1267.1        195.306          0.400
     01/01/1944            0.0         2453.6        218.729          0.400
     01/02/1944            0.0         3660.3        241.946          0.400
     01/03/1944            0.0         3278.1        263.066          0.400
     01/04/1944            0.0         2495.4        274.090          0.400
     01/05/1944            0.0         1827.8        284.541          0.400
     01/06/1944            0.0         1304.0        294.845          0.400
     01/07/1944            0.0          947.8        296.932          0.400
     01/08/1944            0.0         1051.4        298.984          0.400
     01/09/1944            0.0         1621.7        301.278          0.400
     01/10/1944            0.0         3446.8        311.424          0.400
     01/11/1944            0.0            0.0          0.000          0.000
     01/12/1944            0.0            0.0          0.000          0.000
     01/01/1945            0.0            0.0          0.000          0.000
     01/02/1945            0.0            0.0          0.000          0.000
     01/03/1945            0.0            0.0          0.000          0.000
     01/04/1945            0.0            0.0          0.000          0.000
     01/05/1945            0.0            0.0          0.000          0.000
     01/06/1945            0.0            0.0          0.000          0.000
     01/07/1945            0.0            0.0          0.000          0.000
     01/08/1945            0.0            0.0          0.000          0.000
     01/09/1945            0.0            0.0          0.000          0.000
     01/10/1945         1958.4            0.0          0.000          0.000
     24/10/1945         2092.6            0.0          0.000          0.000
     01/11/1945            0.0            0.0          0.000          0.000
     01/12/1945            0.0           10.5          0.000          0.000
     01/01/1946            0.0          673.9          0.000          0.000
     01/02/1946            0.0         1847.4          0.000          0.000
     01/03/1946            0.0         1897.1        205.359          0.400
     01/04/1946            0.0         1523.9        206.970          0.400
     01/05/1946            0.0         1314.5        211.669          0.400
     01/06/1946            0.0          777.0        217.230          0.400
     01/07/1946            0.0          437.4        214.972          0.400
     01/08/1946            0.0          252.9        211.479          0.400
     01/09/1946            0.0          160.3        197.794          0.400
     01/10/1946            0.0          209.1        181.689          0.400
     01/11/1946            0.0         1862.6        189.330          0.400
     01/12/1946            0.0         2286.5        199.264          0.400
     01/01/1947            0.0         2516.3        222.789          0.400
     01/02/1947            0.0         2316.1        245.860          0.400
     01/03/1947            0.0         2364.6        265.969          0.400
     01/04/1947            0.0         2624.1        276.787          0.400
     01/05/1947            0.0         2876.9        287.111          0.400
     01/06/1947            0.0         3117.3        297.382          0.400
     01/07/1947            0.0         3337.5        299.518          0.400
     01/08/1947            0.0         2740.0        301.644          0.400
     01/09/1947            0.0         2238.6        303.918          0.400
     01/10/1947            0.0         2136.3        313.654          0.400
     01/11/1947            0.0            0.0          0.000          0.000
     01/12/1947            0.0            0.0          0.000          0.000
     01/01/1948            0.0            0.0          0.000          0.000
     01/02/1948            0.0            0.0          0.000          0.000
     01/03/1948            0.0            0.0          0.000          0.000
     01/04/1948            0.0            0.0          0.000          0.000
     01/05/1948            0.0            0.0          0.000          0.000
     01/06/1948            0.0            0.0          0.000          0.000
     01/07/1948            0.0            0.0          0.000          0.000
     01/08/1948            0.0            0.0          0.000          0.000
     01/09/1948            0.0            0.0          0.000          0.000
     01/10/1948          787.0            0.0          0.000          0.000
     31/10/1948         2125.1            0.0          0.000          0.000
     01/11/1948            0.0            0.0          0.000          0.000
     01/12/1948            0.0            0.0          0.000          0.000
     01/01/1949            0.0            0.0          0.000          0.000
     01/02/1949            0.0          186.4          0.000          0.000
     01/03/1949            0.0         2161.3          0.000          0.000
     01/04/1949            0.0         2998.8        200.384          0.400
     01/05/1949            0.0         2993.7        210.311          0.400
     01/06/1949            0.0         2581.2        219.280          0.400
     01/07/1949            0.0         2373.4        220.095          0.400
     01/08/1949            0.0         1346.2        220.753          0.400
     01/09/1949            0.0          544.6        221.018          0.400
     01/10/1949            0.0          287.9        227.036          0.400
     01/11/1949            0.0         1219.2        232.208          0.400
     01/12/1949            0.0         1700.4        241.730          0.400
