ApsimVersion = 7.9
Title = Vensim
           Date            st1            sw1      daily_htt        sum_htt
   (dd/mm/yyyy)             ()             ()             ()             ()
     01/01/1988          0.000          0.000         20.000         20.000
     02/01/1988          0.000          0.000         20.000         40.000
     03/01/1988          0.000          0.000         20.000         60.000
     04/01/1988          0.000          0.000         20.000         80.000
     05/01/1988          0.000          0.000         20.000        100.000
     06/01/1988          0.000          0.000         20.000        120.000
     07/01/1988          0.000          0.000         20.000        140.000
     08/01/1988          0.000          0.000         20.000        160.000
     09/01/1988          0.000          0.000         20.000        180.000
     10/01/1988          0.000          0.000         20.000        200.000
     11/01/1988          0.000          0.000         20.000        220.000
     12/01/1988          0.000          0.000         20.000        240.000
     13/01/1988          0.000          0.000         20.000        260.000
     14/01/1988          0.000          0.000         20.000        280.000
     15/01/1988          0.000          0.000         20.000        300.000
     16/01/1988          0.000          0.000         20.000        320.000
     17/01/1988          0.000          0.000         20.000        340.000
     18/01/1988          0.000          0.000         20.000        360.000
     19/01/1988          0.000          0.000         20.000        380.000
     20/01/1988          0.000          0.000         20.000        400.000
     21/01/1988          0.000          0.000         20.000        420.000
     22/01/1988          0.000          0.000         20.000        440.000
     23/01/1988          0.000          0.000         20.000        460.000
     24/01/1988          0.000          0.000         20.000        480.000
     25/01/1988          0.000          0.000         20.000        500.000
     26/01/1988          0.000          0.000         20.000        520.000
     27/01/1988          0.000          0.000         20.000        540.000
     28/01/1988          0.000          0.000         20.000        560.000
     29/01/1988          0.000          0.000         20.000        580.000
     30/01/1988          0.000          0.000         20.000        600.000
     31/01/1988          0.000          0.000         20.000        620.000
     01/02/1988          0.000          0.000         20.000        640.000
     02/02/1988          0.000          0.000         20.000        660.000
     03/02/1988          0.000          0.000         20.000        680.000
     04/02/1988          0.000          0.000         20.000        700.000
     05/02/1988          0.000          0.000         20.000        720.000
     06/02/1988          0.000          0.000         20.000        740.000
     07/02/1988          0.000          0.000         20.000        760.000
     08/02/1988          0.000          0.000         20.000        780.000
     09/02/1988          0.000          0.000         20.000        800.000
     10/02/1988          0.000          0.000         20.000        820.000
     11/02/1988          0.000          0.000         20.000        840.000
     12/02/1988          0.000          0.000         20.000        860.000
     13/02/1988          0.000          0.000         20.000        880.000
     14/02/1988          0.000          0.000         20.000        900.000
     15/02/1988          0.000          0.000         20.000        920.000
     16/02/1988          0.000          0.000         20.000        940.000
     17/02/1988          0.000          0.000         20.000        960.000
     18/02/1988          0.000          0.000         20.000        980.000
     19/02/1988          0.000          0.000         20.000       1000.000
     20/02/1988          0.000          0.000         20.000       1020.000
     21/02/1988          0.000          0.000         20.000       1040.000
     22/02/1988          0.000          0.000         20.000       1060.000
     23/02/1988          0.000          0.000         20.000       1080.000
     24/02/1988          0.000          0.000         20.000       1100.000
     25/02/1988          0.000          0.000         20.000       1120.000
     26/02/1988          0.000          0.000         20.000       1140.000
     27/02/1988          0.000          0.000         20.000       1160.000
     28/02/1988          0.000          0.000         20.000       1180.000
     29/02/1988          0.000          0.000         20.000       1200.000
     01/03/1988          0.000          0.000         20.000       1220.000
     02/03/1988          0.000          0.000         20.000       1240.000
     03/03/1988          0.000          0.000         20.000       1260.000
     04/03/1988          0.000          0.000         20.000       1280.000
     05/03/1988          0.000          0.000         20.000       1300.000
     06/03/1988          0.000          0.000         20.000       1320.000
     07/03/1988          0.000          0.000         20.000       1340.000
     08/03/1988          0.000          0.000         20.000       1360.000
     09/03/1988          0.000          0.000         20.000       1380.000
     10/03/1988          0.000          0.000         20.000       1400.000
     11/03/1988          0.000          0.000         20.000       1420.000
     12/03/1988          0.000          0.000         20.000       1440.000
     13/03/1988          0.000          0.000         20.000       1460.000
     14/03/1988          0.000          0.000         20.000       1480.000
     15/03/1988          0.000          0.000         20.000       1500.000
     16/03/1988          0.000          0.000         20.000       1520.000
     17/03/1988          0.000          0.000         20.000       1540.000
     18/03/1988          0.000          0.000         20.000       1560.000
     19/03/1988          0.000          0.000         20.000       1580.000
     20/03/1988          0.000          0.000         20.000       1600.000
     21/03/1988          0.000          0.000         20.000       1620.000
     22/03/1988          0.000          0.000         20.000       1640.000
     23/03/1988          0.000          0.000         20.000       1660.000
     24/03/1988          0.000          0.000         20.000       1680.000
     25/03/1988          0.000          0.000         20.000       1700.000
     26/03/1988          0.000          0.000         20.000       1720.000
     27/03/1988          0.000          0.000         20.000       1740.000
     28/03/1988          0.000          0.000         20.000       1760.000
     29/03/1988          0.000          0.000         20.000       1780.000
     30/03/1988          0.000          0.000         20.000       1800.000
     31/03/1988          0.000          0.000         20.000       1820.000
     01/04/1988          0.000          0.000         20.000       1840.000
     02/04/1988          0.000          0.000         20.000       1860.000
     03/04/1988          0.000          0.000         20.000       1880.000
     04/04/1988          0.000          0.000         20.000       1900.000
     05/04/1988          0.000          0.000         20.000       1920.000
     06/04/1988          0.000          0.000         20.000       1940.000
     07/04/1988          0.000          0.000         20.000       1960.000
     08/04/1988          0.000          0.000         20.000       1980.000
     09/04/1988          0.000          0.000         20.000       2000.000
     10/04/1988          0.000          0.000         20.000       2020.000
     11/04/1988          0.000          0.000         20.000       2040.000
     12/04/1988          0.000          0.000         20.000       2060.000
     13/04/1988          0.000          0.000         20.000       2080.000
     14/04/1988          0.000          0.000         20.000       2100.000
     15/04/1988          0.000          0.000         20.000       2120.000
     16/04/1988          0.000          0.000         20.000       2140.000
     17/04/1988          0.000          0.000         20.000       2160.000
     18/04/1988          0.000          0.000         20.000       2180.000
     19/04/1988          0.000          0.000         20.000       2200.000
     20/04/1988          0.000          0.000         20.000       2220.000
     21/04/1988          0.000          0.000         20.000       2240.000
     22/04/1988          0.000          0.000         20.000       2260.000
     23/04/1988          0.000          0.000         20.000       2280.000
     24/04/1988          0.000          0.000         20.000       2300.000
     25/04/1988          0.000          0.000         20.000       2320.000
     26/04/1988          0.000          0.000         20.000       2340.000
     27/04/1988          0.000          0.000         20.000       2360.000
     28/04/1988          0.000          0.000         20.000       2380.000
     29/04/1988          0.000          0.000         20.000       2400.000
     30/04/1988          0.000          0.000         20.000       2420.000
     01/05/1988          0.000          0.000         20.000       2440.000
     02/05/1988          0.000          0.000         20.000       2460.000
     03/05/1988          0.000          0.000         20.000       2480.000
     04/05/1988          0.000          0.000         20.000       2500.000
