ApsimVersion = 7.9
Title = BC76
           Date          bd(1) paddock.soybean.yield paddock.maize.yield          sw(1)  biochar_bd(1)          oc(1) paddock.soybean.biomass paddock.maize.biomass paddock.soybean.yield paddock.maize.yield         stover paddock.soybean.lai paddock.maize.lai          bd(1)         dul(1)         sat(1)          sw(1)          ph(1)          oc_15          pH_15   corn_yield15
   (dd/mm/yyyy)       (g/cm^3)               (kg/ha)             (kg/ha)        (mm/mm)             ()            (%)                 (kg/ha)               (kg/ha)               (kg/ha)             (kg/ha)        (kg/ha)           (m^2/m^2)         (m^2/m^2)       (g/cm^3)        (mm/mm)        (mm/mm)        (mm/mm)           (pH)             ()             ()             ()
     01/01/2006          1.650                   0.0                 0.0          0.219          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.219          5.700          1.257          5.700          0.000
     02/01/2006          1.650                   0.0                 0.0          0.249          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.249          5.700          1.257          5.700          0.000
     03/01/2006          1.650                   0.0                 0.0          0.246          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.246          5.700          1.257          5.700          0.000
     04/01/2006          1.650                   0.0                 0.0          0.242          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.242          5.700          1.257          5.700          0.000
     05/01/2006          1.650                   0.0                 0.0          0.239          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.239          5.700          1.257          5.700          0.000
     06/01/2006          1.650                   0.0                 0.0          0.238          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.238          5.700          1.257          5.700          0.000
     07/01/2006          1.650                   0.0                 0.0          0.234          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.234          5.700          1.257          5.700          0.000
     08/01/2006          1.650                   0.0                 0.0          0.231          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.231          5.700          1.257          5.700          0.000
     09/01/2006          1.650                   0.0                 0.0          0.231          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.231          5.700          1.257          5.700          0.000
     10/01/2006          1.650                   0.0                 0.0          0.229          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.229          5.700          1.257          5.700          0.000
     11/01/2006          1.650                   0.0                 0.0          0.225          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.225          5.700          1.257          5.700          0.000
     12/01/2006          1.650                   0.0                 0.0          0.222          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.222          5.700          1.257          5.700          0.000
     13/01/2006          1.650                   0.0                 0.0          0.220          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.220          5.700          1.257          5.700          0.000
     14/01/2006          1.650                   0.0                 0.0          0.217          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.217          5.700          1.257          5.700          0.000
     15/01/2006          1.650                   0.0                 0.0          0.214          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.214          5.700          1.257          5.700          0.000
     16/01/2006          1.650                   0.0                 0.0          0.211          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.211          5.700          1.257          5.700          0.000
     17/01/2006          1.650                   0.0                 0.0          0.212          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.212          5.700          1.257          5.700          0.000
     18/01/2006          1.650                   0.0                 0.0          0.209          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.209          5.700          1.257          5.700          0.000
     19/01/2006          1.650                   0.0                 0.0          0.206          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.206          5.700          1.257          5.700          0.000
     20/01/2006          1.650                   0.0                 0.0          0.220          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.220          5.700          1.257          5.700          0.000
     21/01/2006          1.650                   0.0                 0.0          0.219          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.219          5.700          1.257          5.700          0.000
     22/01/2006          1.650                   0.0                 0.0          0.217          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.217          5.700          1.257          5.700          0.000
     23/01/2006          1.650                   0.0                 0.0          0.216          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.216          5.700          1.257          5.700          0.000
     24/01/2006          1.650                   0.0                 0.0          0.213          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.213          5.700          1.257          5.700          0.000
     25/01/2006          1.650                   0.0                 0.0          0.209          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.209          5.700          1.257          5.700          0.000
     26/01/2006          1.650                   0.0                 0.0          0.204          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.204          5.700          1.257          5.700          0.000
     27/01/2006          1.650                   0.0                 0.0          0.200          1.650          1.280                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.200          5.700          1.257          5.700          0.000
     28/01/2006          1.650                   0.0                 0.0          0.223          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.223          5.700          1.257          5.700          0.000
     29/01/2006          1.650                   0.0                 0.0          0.241          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.241          5.700          1.257          5.700          0.000
     30/01/2006          1.650                   0.0                 0.0          0.242          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.242          5.700          1.257          5.700          0.000
     31/01/2006          1.650                   0.0                 0.0          0.237          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.237          5.700          1.257          5.700          0.000
     01/02/2006          1.650                   0.0                 0.0          0.231          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.231          5.700          1.257          5.700          0.000
     02/02/2006          1.650                   0.0                 0.0          0.226          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.226          5.700          1.257          5.700          0.000
     03/02/2006          1.650                   0.0                 0.0          0.223          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.223          5.700          1.257          5.700          0.000
     04/02/2006          1.650                   0.0                 0.0          0.223          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.223          5.700          1.257          5.700          0.000
     05/02/2006          1.650                   0.0                 0.0          0.222          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.222          5.700          1.257          5.700          0.000
     06/02/2006          1.650                   0.0                 0.0          0.221          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.221          5.700          1.257          5.700          0.000
     07/02/2006          1.650                   0.0                 0.0          0.220          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.220          5.700          1.257          5.700          0.000
     08/02/2006          1.650                   0.0                 0.0          0.237          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.237          5.700          1.257          5.700          0.000
     09/02/2006          1.650                   0.0                 0.0          0.234          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.234          5.700          1.257          5.700          0.000
     10/02/2006          1.650                   0.0                 0.0          0.232          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.232          5.700          1.257          5.700          0.000
     11/02/2006          1.650                   0.0                 0.0          0.230          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.230          5.700          1.257          5.700          0.000
     12/02/2006          1.650                   0.0                 0.0          0.229          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.229          5.700          1.257          5.700          0.000
     13/02/2006          1.650                   0.0                 0.0          0.224          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.224          5.700          1.257          5.700          0.000
     14/02/2006          1.650                   0.0                 0.0          0.218          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.218          5.700          1.257          5.700          0.000
     15/02/2006          1.650                   0.0                 0.0          0.215          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.215          5.700          1.257          5.700          0.000
     16/02/2006          1.650                   0.0                 0.0          0.238          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.238          5.700          1.257          5.700          0.000
     17/02/2006          1.650                   0.0                 0.0          0.235          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.235          5.700          1.257          5.700          0.000
