ApsimVersion = 7.8
Title = Continuous Dryland Cotton
           Date       dw_total        NUptake          yield       bolls_sc        lai_max            esw     InCropRain
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)        (kg/ha)       (g/boll)        (m2/m2)           (mm)           (mm)
     19/02/2001         1839.0           43.5          240.3          3.108          0.220        229.981        391.300
     27/02/2002         3095.4           76.5          659.7          3.902          0.513        286.529        296.200
     22/11/2002           38.6            0.0            0.0          0.000          0.004        259.265         11.200
     09/06/2004        10162.9          184.9         1909.9          4.625          1.331        330.663        515.500
     09/03/2005         3598.6          103.3          891.0          3.766          0.834        395.151        434.900
     20/03/2006         4529.9           67.8         1091.7          5.164          0.349        476.102        253.700
     08/03/2007         2650.3           56.3          588.8          3.869          0.334        468.381         87.900
     06/05/2008         7309.4          205.2         1767.5          5.139          1.317        403.444        433.400
     26/02/2009         3228.0           91.3          689.4          4.045          0.649        439.147        304.700
     10/04/2010         7746.1          146.6         1562.1          5.333          0.835        462.933        487.300
     16/03/2011         4200.9           87.2          929.5          3.831          0.655        414.454        315.100
     13/04/2012         5801.0          165.8         1491.0          4.784          1.659        397.925        686.900
