ApsimVersion = 7.10
Title = Continuous Irrigated Cotton - deficit rule
           Date       dw_total  nuptake_total          yield       bolls_sc        lai_max PlantExtractableWater
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)        (kg/ha)       (g/boll)        (m2/m2)                  (mm)
     19/04/2001        13245.3          169.6         2508.8          4.422          2.144               290.246
     28/03/2002        14450.4          217.9         3528.1          5.898          1.862               211.213
     12/03/2003        12047.7          240.0         2747.2          4.048          2.184               300.471
     24/05/2004        28018.0          240.0         4461.3          5.153          5.023               228.893
     12/04/2005        19241.5          240.0         4189.2          5.764          3.114               235.911
     18/03/2006        13651.7          240.0         3031.5          4.849          1.509               218.033
     30/03/2007        18868.7          240.0         3847.7          5.913          2.209               214.484
     22/04/2008        19245.0          240.0         4216.2          5.826          4.677               206.429
     09/04/2009        18303.0          240.0         3945.6          5.846          2.540               253.979
     20/04/2010        22716.5          240.0         3931.2          6.120          3.766               238.313
     04/04/2011        13679.5          240.0         3660.9          5.121          2.764               234.833
     31/05/2012        11138.9          174.1         2359.3          3.350          4.626               285.976
