ApsimVersion = 7.9
Title = Continuous Sorghum
           Date        biomass          yield            esw      biomass_n
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)           (mm)        (g/m^2)
     01/01/1940            0.0            0.0        535.383           0.00
     02/01/1940            0.0            0.0        531.998           0.00
     03/01/1940            0.0            0.0        530.549           0.00
     04/01/1940            0.0            0.0        529.437           0.00
     05/01/1940            0.0            0.0        528.499           0.00
     06/01/1940            0.0            0.0        527.673           0.00
     07/01/1940            0.0            0.0        526.926           0.00
     08/01/1940            0.0            0.0        536.859           0.00
     09/01/1940            0.0            0.0        532.894           0.00
     10/01/1940            0.0            0.0        531.186           0.00
     11/01/1940            0.0            0.0        529.972           0.00
     12/01/1940            0.0            0.0        528.977           0.00
     13/01/1940            0.0            0.0        528.112           0.00
     14/01/1940            0.0            0.0        527.337           0.00
     15/01/1940            0.0            0.0        526.628           0.00
     16/01/1940            0.0            0.0        525.971           0.00
     17/01/1940            0.0            0.0        525.356           0.00
     18/01/1940            0.0            0.0        524.776           0.00
     19/01/1940            0.0            0.0        524.226           0.00
     20/01/1940            0.0            0.0        523.701           0.00
     21/01/1940            0.0            0.0        523.198           0.00
     22/01/1940            0.0            0.0        522.714           0.00
     23/01/1940            0.0            0.0        522.248           0.00
     24/01/1940            0.0            0.0        521.798           0.00
     25/01/1940            0.0            0.0        521.362           0.00
     26/01/1940            0.0            0.0        520.939           0.00
     27/01/1940            0.0            0.0        520.528           0.00
     28/01/1940            0.0            0.0        520.127           0.00
     29/01/1940            0.0            0.0        519.737           0.00
     30/01/1940            0.0            0.0        520.196           0.00
     31/01/1940            0.0            0.0        519.804           0.00
     01/02/1940            0.0            0.0        521.718           0.00
     02/02/1940            0.0            0.0        547.924           0.00
     03/02/1940            0.0            0.0        543.955           0.00
     04/02/1940            0.0            0.0        541.545           0.00
     05/02/1940            0.0            0.0        548.737           0.00
     06/02/1940            0.0            0.0        562.761           0.00
     07/02/1940            0.0            0.0        559.588           0.00
     08/02/1940            0.0            0.0        557.350           0.00
     09/02/1940            0.0            0.0        555.975           0.00
     10/02/1940            0.0            0.0        554.858           0.00
     11/02/1940            0.0            0.0        553.861           0.00
     12/02/1940            0.0            0.0        552.916           0.00
     13/02/1940            0.0            0.0        551.982           0.00
     14/02/1940            0.0            0.0        551.029           0.00
     15/02/1940            0.0            0.0        550.036           0.00
     16/02/1940            0.0            0.0        548.988           0.00
     17/02/1940            0.0            0.0        547.880           0.00
     18/02/1940            0.0            0.0        546.709           0.00
     19/02/1940            0.0            0.0        545.479           0.00
     20/02/1940            0.0            0.0        544.199           0.00
     21/02/1940            0.0            0.0        542.880           0.00
     22/02/1940            0.0            0.0        541.535           0.00
     23/02/1940            0.0            0.0        540.180           0.00
     24/02/1940            0.0            0.0        538.829           0.00
     25/02/1940            0.0            0.0        537.495           0.00
     26/02/1940            0.0            0.0        536.193           0.00
     27/02/1940            0.0            0.0        534.932           0.00
     28/02/1940            0.0            0.0        563.180           0.00
     29/02/1940            0.0            0.0        561.318           0.00
     01/03/1940            0.0            0.0        558.598           0.00
     02/03/1940            0.0            0.0        554.974           0.00
     03/03/1940            0.0            0.0        551.786           0.00
     04/03/1940            0.0            0.0        549.806           0.00
     05/03/1940            0.0            0.0        548.172           0.00
     06/03/1940            0.0            0.0        546.730           0.00
     07/03/1940            0.0            0.0        545.410           0.00
     08/03/1940            0.0            0.0        544.171           0.00
     09/03/1940            0.0            0.0        542.986           0.00
     10/03/1940            0.0            0.0        541.835           0.00
     11/03/1940            0.0            0.0        540.705           0.00
     12/03/1940            0.0            0.0        539.588           0.00
     13/03/1940            0.0            0.0        538.478           0.00
     14/03/1940            0.0            0.0        537.376           0.00
     15/03/1940            0.0            0.0        536.283           0.00
     16/03/1940            0.0            0.0        535.203           0.00
     17/03/1940            0.0            0.0        534.140           0.00
     18/03/1940            0.0            0.0        558.134           0.00
     19/03/1940            0.0            0.0        592.468           0.00
     20/03/1940            0.0            0.0        590.397           0.00
     21/03/1940            0.0            0.0        586.368           0.00
     22/03/1940            0.0            0.0        583.387           0.00
     23/03/1940            0.0            0.0        581.267           0.00
     24/03/1940            0.0            0.0        579.316           0.00
     25/03/1940            0.0            0.0        577.371           0.00
     26/03/1940            0.0            0.0        575.356           0.00
     27/03/1940            0.0            0.0        573.232           0.00
     28/03/1940            0.0            0.0        570.980           0.00
     29/03/1940            0.0            0.0        568.599           0.00
     30/03/1940            0.0            0.0        566.099           0.00
     31/03/1940            0.0            0.0        563.502           0.00
     01/04/1940            0.0            0.0        560.834           0.00
     02/04/1940            0.0            0.0        558.125           0.00
     03/04/1940            0.0            0.0        555.409           0.00
     04/04/1940            0.0            0.0        552.717           0.00
     05/04/1940            0.0            0.0        550.077           0.00
     06/04/1940            0.0            0.0        547.518           0.00
     07/04/1940            0.0            0.0        545.059           0.00
     08/04/1940            0.0            0.0        542.720           0.00
     09/04/1940            0.0            0.0        540.514           0.00
     10/04/1940            0.0            0.0        538.448           0.00
     11/04/1940            0.0            0.0        536.528           0.00
     12/04/1940            0.0            0.0        534.755           0.00
     13/04/1940            0.0            0.0        533.126           0.00
     14/04/1940            0.0            0.0        542.451           0.00
     15/04/1940            0.0            0.0        538.363           0.00
     16/04/1940            0.0            0.0        536.219           0.00
     17/04/1940            0.0            0.0        534.886           0.00
     18/04/1940            0.0            0.0        533.680           0.00
     19/04/1940            0.0            0.0        532.587           0.00
     20/04/1940            0.0            0.0        531.596           0.00
     21/04/1940            0.0            0.0        530.696           0.00
     22/04/1940            0.0            0.0        529.876           0.00
     23/04/1940            0.0            0.0        529.126           0.00
     24/04/1940            0.0            0.0        528.438           0.00
     25/04/1940            0.0            0.0        527.805           0.00
     26/04/1940            0.0            0.0        527.219           0.00
     27/04/1940            0.0            0.0        526.674           0.00
     28/04/1940            0.0            0.0        526.164           0.00
     29/04/1940            0.0            0.0        525.686           0.00
     30/04/1940            0.0            0.0        525.234           0.00
     01/05/1940            0.0            0.0        524.806           0.00
     02/05/1940            0.0            0.0        524.398           0.00
     03/05/1940            0.0            0.0        524.008           0.00
     04/05/1940            0.0            0.0        523.632           0.00
     05/05/1940            0.0            0.0        523.270           0.00
     06/05/1940            0.0            0.0        522.920           0.00
     07/05/1940            0.0            0.0        522.580           0.00
     08/05/1940            0.0            0.0        522.250           0.00
     09/05/1940            0.0            0.0        521.927           0.00
     10/05/1940            0.0            0.0        521.612           0.00
     11/05/1940            0.0            0.0        521.303           0.00
     12/05/1940            0.0            0.0        521.001           0.00
     13/05/1940            0.0            0.0        520.704           0.00
     14/05/1940            0.0            0.0        520.411           0.00
     15/05/1940            0.0            0.0        520.124           0.00
     16/05/1940            0.0            0.0        519.841           0.00
     17/05/1940            0.0            0.0        519.562           0.00
     18/05/1940            0.0            0.0        519.287           0.00
     19/05/1940            0.0            0.0        519.016           0.00
     20/05/1940            0.0            0.0        518.747           0.00
     21/05/1940            0.0            0.0        533.215           0.00
     22/05/1940            0.0            0.0        530.793           0.00
     23/05/1940            0.0            0.0        528.767           0.00
     24/05/1940            0.0            0.0        528.305           0.00
     25/05/1940            0.0            0.0        527.859           0.00
     26/05/1940            0.0            0.0        527.426           0.00
     27/05/1940            0.0            0.0        527.006           0.00
     28/05/1940            0.0            0.0        526.598           0.00
     29/05/1940            0.0            0.0        526.200           0.00
     30/05/1940            0.0            0.0        525.813           0.00
     31/05/1940            0.0            0.0        525.434           0.00
     01/06/1940            0.0            0.0        525.064           0.00
     02/06/1940            0.0            0.0        524.702           0.00
     03/06/1940            0.0            0.0        524.348           0.00
     04/06/1940            0.0            0.0        524.000           0.00
     05/06/1940            0.0            0.0        523.659           0.00
     06/06/1940            0.0            0.0        523.325           0.00
     07/06/1940            0.0            0.0        522.996           0.00
     08/06/1940            0.0            0.0        522.674           0.00
     09/06/1940            0.0            0.0        522.356           0.00
     10/06/1940            0.0            0.0        522.044           0.00
     11/06/1940            0.0            0.0        521.736           0.00
     12/06/1940            0.0            0.0        521.433           0.00
     13/06/1940            0.0            0.0        521.135           0.00
     14/06/1940            0.0            0.0        520.840           0.00
     15/06/1940            0.0            0.0        520.550           0.00
     16/06/1940            0.0            0.0        520.264           0.00
     17/06/1940            0.0            0.0        519.982           0.00
     18/06/1940            0.0            0.0        519.703           0.00
     19/06/1940            0.0            0.0        519.427           0.00
     20/06/1940            0.0            0.0        519.155           0.00
     21/06/1940            0.0            0.0        518.886           0.00
     22/06/1940            0.0            0.0        518.621           0.00
     23/06/1940            0.0            0.0        518.358           0.00
     24/06/1940            0.0            0.0        518.098           0.00
     25/06/1940            0.0            0.0        517.841           0.00
     26/06/1940            0.0            0.0        517.587           0.00
     27/06/1940            0.0            0.0        517.335           0.00
     28/06/1940            0.0            0.0        517.086           0.00
     29/06/1940            0.0            0.0        516.840           0.00
     30/06/1940            0.0            0.0        516.596           0.00
     01/07/1940            0.0            0.0        516.354           0.00
     02/07/1940            0.0            0.0        516.114           0.00
     03/07/1940            0.0            0.0        515.877           0.00
     04/07/1940            0.0            0.0        515.642           0.00
     05/07/1940            0.0            0.0        515.409           0.00
     06/07/1940            0.0            0.0        515.178           0.00
     07/07/1940            0.0            0.0        514.949           0.00
     08/07/1940            0.0            0.0        514.722           0.00
     09/07/1940            0.0            0.0        514.496           0.00
     10/07/1940            0.0            0.0        514.273           0.00
     11/07/1940            0.0            0.0        514.052           0.00
     12/07/1940            0.0            0.0        513.832           0.00
     13/07/1940            0.0            0.0        513.614           0.00
     14/07/1940            0.0            0.0        513.397           0.00
     15/07/1940            0.0            0.0        513.182           0.00
     16/07/1940            0.0            0.0        512.969           0.00
     17/07/1940            0.0            0.0        512.758           0.00
     18/07/1940            0.0            0.0        512.547           0.00
     19/07/1940            0.0            0.0        512.339           0.00
     20/07/1940            0.0            0.0        512.132           0.00
     21/07/1940            0.0            0.0        511.926           0.00
     22/07/1940            0.0            0.0        511.722           0.00
     23/07/1940            0.0            0.0        511.519           0.00
     24/07/1940            0.0            0.0        511.317           0.00
     25/07/1940            0.0            0.0        511.117           0.00
     26/07/1940            0.0            0.0        510.918           0.00
     27/07/1940            0.0            0.0        510.720           0.00
     28/07/1940            0.0            0.0        510.524           0.00
     29/07/1940            0.0            0.0        510.329           0.00
     30/07/1940            0.0            0.0        510.135           0.00
     31/07/1940            0.0            0.0        509.942           0.00
     01/08/1940            0.0            0.0        509.750           0.00
     02/08/1940            0.0            0.0        509.560           0.00
     03/08/1940            0.0            0.0        509.370           0.00
     04/08/1940            0.0            0.0        509.182           0.00
     05/08/1940            0.0            0.0        510.599           0.00
     06/08/1940            0.0            0.0        508.995           0.00
     07/08/1940            0.0            0.0        508.809           0.00
     08/08/1940            0.0            0.0        508.624           0.00
     09/08/1940            0.0            0.0        508.440           0.00
     10/08/1940            0.0            0.0        508.256           0.00
     11/08/1940            0.0            0.0        508.074           0.00
     12/08/1940            0.0            0.0        507.893           0.00
     13/08/1940            0.0            0.0        507.713           0.00
     14/08/1940            0.0            0.0        507.534           0.00
     15/08/1940            0.0            0.0        507.356           0.00
     16/08/1940            0.0            0.0        507.178           0.00
     17/08/1940            0.0            0.0        507.002           0.00
     18/08/1940            0.0            0.0        506.826           0.00
     19/08/1940            0.0            0.0        506.652           0.00
     20/08/1940            0.0            0.0        506.478           0.00
     21/08/1940            0.0            0.0        506.305           0.00
     22/08/1940            0.0            0.0        506.133           0.00
     23/08/1940            0.0            0.0        505.962           0.00
     24/08/1940            0.0            0.0        505.791           0.00
     25/08/1940            0.0            0.0        505.621           0.00
     26/08/1940            0.0            0.0        505.453           0.00
     27/08/1940            0.0            0.0        505.284           0.00
     28/08/1940            0.0            0.0        505.117           0.00
     29/08/1940            0.0            0.0        504.951           0.00
     30/08/1940            0.0            0.0        504.785           0.00
     31/08/1940            0.0            0.0        504.620           0.00
     01/09/1940            0.0            0.0        504.455           0.00
     02/09/1940            0.0            0.0        504.292           0.00
     03/09/1940            0.0            0.0        504.129           0.00
     04/09/1940            0.0            0.0        503.967           0.00
     05/09/1940            0.0            0.0        503.805           0.00
     06/09/1940            0.0            0.0        503.644           0.00
     07/09/1940            0.0            0.0        503.484           0.00
     08/09/1940            0.0            0.0        503.325           0.00
     09/09/1940            0.0            0.0        503.166           0.00
     10/09/1940            0.0            0.0        503.008           0.00
     11/09/1940            0.0            0.0        502.850           0.00
     12/09/1940            0.0            0.0        502.693           0.00
     13/09/1940            0.0            0.0        502.537           0.00
     14/09/1940            0.0            0.0        502.381           0.00
     15/09/1940            0.0            0.0        502.226           0.00
     16/09/1940            0.0            0.0        502.072           0.00
     17/09/1940            0.0            0.0        501.918           0.00
     18/09/1940            0.0            0.0        501.764           0.00
     19/09/1940            0.0            0.0        501.612           0.00
     20/09/1940            0.0            0.0        501.460           0.00
     21/09/1940            0.0            0.0        501.308           0.00
     22/09/1940            0.0            0.0        514.302           0.00
     23/09/1940            0.0            0.0        511.011           0.00
     24/09/1940            0.0            0.0        510.114           0.00
     25/09/1940            0.0            0.0        509.922           0.00
     26/09/1940            0.0            0.0        509.730           0.00
     27/09/1940            0.0            0.0        509.540           0.00
     28/09/1940            0.0            0.0        509.350           0.00
     29/09/1940            0.0            0.0        509.162           0.00
     30/09/1940            0.0            0.0        508.975           0.00
     01/10/1940            0.0            0.0        508.789           0.00
     02/10/1940            0.0            0.0        508.604           0.00
     03/10/1940            0.0            0.0        508.420           0.00
     04/10/1940            0.0            0.0        508.237           0.00
     05/10/1940            0.0            0.0        508.055           0.00
     06/10/1940            0.0            0.0        507.874           0.00
     07/10/1940            0.0            0.0        507.694           0.00
     08/10/1940            0.0            0.0        507.515           0.00
     09/10/1940            0.0            0.0        507.337           0.00
     10/10/1940            0.0            0.0        507.160           0.00
     11/10/1940            0.0            0.0        506.983           0.00
     12/10/1940            0.0            0.0        506.808           0.00
     13/10/1940            0.0            0.0        506.633           0.00
     14/10/1940            0.0            0.0        506.460           0.00
     15/10/1940            0.0            0.0        506.287           0.00
     16/10/1940            0.0            0.0        506.115           0.00
     17/10/1940            0.0            0.0        505.944           0.00
     18/10/1940            0.0            0.0        505.773           0.00
     19/10/1940            0.0            0.0        505.604           0.00
     20/10/1940            0.0            0.0        505.435           0.00
     21/10/1940            0.0            0.0        509.447           0.00
     22/10/1940            0.0            0.0        508.152           0.00
     23/10/1940            0.0            0.0        507.971           0.00
     24/10/1940            0.0            0.0        507.790           0.00
     25/10/1940            0.0            0.0        507.611           0.00
     26/10/1940            0.0            0.0        507.432           0.00
     27/10/1940            0.0            0.0        507.254           0.00
     28/10/1940            0.0            0.0        507.077           0.00
     29/10/1940            0.0            0.0        506.901           0.00
     30/10/1940            0.0            0.0        506.726           0.00
     31/10/1940            0.0            0.0        507.016           0.00
     01/11/1940            0.0            0.0        507.649           0.00
     02/11/1940            0.0            0.0        506.552           0.00
     03/11/1940            0.0            0.0        506.379           0.00
     04/11/1940            0.0            0.0        506.206           0.00
     05/11/1940            0.0            0.0        506.035           0.00
     06/11/1940            0.0            0.0        505.864           0.00
     07/11/1940            0.0            0.0        505.694           0.00
     08/11/1940            0.0            0.0        505.525           0.00
     09/11/1940            0.0            0.0        505.356           0.00
     10/11/1940            0.0            0.0        505.189           0.00
     11/11/1940            0.0            0.0        505.022           0.00
     12/11/1940            0.0            0.0        504.856           0.00
     13/11/1940            0.0            0.0        504.690           0.00
     14/11/1940            0.0            0.0        504.525           0.00
     15/11/1940            0.0            0.0        504.362           0.00
     16/11/1940            0.0            0.0        504.198           0.00
     17/11/1940            0.0            0.0        504.036           0.00
     18/11/1940            0.0            0.0        503.874           0.00
     19/11/1940            0.0            0.0        503.713           0.00
     20/11/1940            0.0            0.0        503.552           0.00
     21/11/1940            0.0            0.0        503.393           0.00
     22/11/1940            0.0            0.0        503.234           0.00
     23/11/1940            0.0            0.0        503.075           0.00
     24/11/1940            0.0            0.0        502.917           0.00
     25/11/1940            0.0            0.0        502.760           0.00
