ApsimVersion = 7.4
Title = Continuous Wheat with Climate Change
           Date        biomass          yield  grain_protein     grain_size            esw
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)            (%)            (g)           (mm)
     04/10/1942         7755.8         2840.1         16.388          0.041        359.746
     16/10/1945        11790.5         4306.8         16.428          0.041        292.896
     23/10/1948        13379.6         5559.4         16.399          0.041        268.938
     24/10/1950         6230.4         2592.8         16.408          0.041        471.633
     27/10/1952        12051.5         4874.0         16.423          0.041        385.546
     11/10/1955        12123.2         4517.8         16.451          0.041        277.573
     08/11/1956        13346.9         5094.1         15.801          0.034        294.144
     23/10/1958        12198.0         4864.0         16.438          0.041        249.527
     12/10/1959         9757.2         3504.5         15.707          0.030        244.245
     18/10/1964        14767.1         5737.2         16.434          0.041        312.793
     29/10/1966        14772.0         5608.7         12.510          0.040        283.208
     31/10/1967        10274.4         2912.9         16.470          0.022        233.791
     12/10/1968        11564.1         3854.5         13.596          0.029        228.471
     07/10/1969        10157.3         3888.2         15.672          0.041        253.305
     29/10/1973         8459.0         3050.6         16.375          0.041        333.115
     27/10/1975        11122.0         4091.5         16.445          0.041        336.011
     05/10/1977        12593.6         5195.0         16.454          0.041        267.527
     14/10/1978         9389.9         3544.0         16.416          0.041        327.099
     07/10/1980         9882.7         3683.1         16.484          0.033        245.132
     10/10/1981         9335.9         3679.0         16.406          0.041        259.651
     07/10/1983         9700.6         3766.1         16.412          0.041        402.238
     01/11/1984        12040.0         4396.8         16.367          0.041        323.478
     08/11/1985         9215.1         3361.8         16.599          0.032        252.613
     02/11/1988        10889.1         4025.3         16.256          0.041        308.423
     24/10/1989        10414.8         3313.7         16.547          0.025        246.279
