ApsimVersion = 7.4
Title = Defoliated Wheat
           Date        biomass          yield            LAI    leafgreenwt    stemgreenwt
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)      (m^2/m^2)        (g/m^2)        (g/m^2)
     01/03/2000            0.0            0.0          0.000           0.00           0.00
     02/03/2000            0.0            0.0          0.000           0.00           0.00
     03/03/2000            0.0            0.0          0.000           0.00           0.00
     04/03/2000            0.0            0.0          0.000           0.00           0.00
     05/03/2000            0.0            0.0          0.000           0.00           0.00
     06/03/2000            0.0            0.0          0.000           0.00           0.00
     07/03/2000            0.0            0.0          0.000           0.00           0.00
     08/03/2000            0.0            0.0          0.000           0.00           0.00
     09/03/2000            0.0            0.0          0.000           0.00           0.00
     10/03/2000            0.0            0.0          0.000           0.00           0.00
     11/03/2000            0.0            0.0          0.000           0.00           0.00
     12/03/2000            0.0            0.0          0.000           0.00           0.00
     13/03/2000            0.0            0.0          0.000           0.00           0.00
     14/03/2000            0.0            0.0          0.000           0.00           0.00
     15/03/2000            0.0            0.0          0.000           0.00           0.00
     16/03/2000            0.0            0.0          0.000           0.00           0.00
     17/03/2000            0.0            0.0          0.000           0.00           0.00
     18/03/2000            0.0            0.0          0.000           0.00           0.00
     19/03/2000            0.0            0.0          0.000           0.00           0.00
     20/03/2000            0.0            0.0          0.000           0.00           0.00
     21/03/2000            0.0            0.0          0.000           0.00           0.00
     22/03/2000            0.0            0.0          0.000           0.00           0.00
     23/03/2000            0.0            0.0          0.000           0.00           0.00
     24/03/2000            0.0            0.0          0.000           0.00           0.00
     25/03/2000            0.0            0.0          0.000           0.00           0.00
     26/03/2000            0.0            0.0          0.000           0.00           0.00
     27/03/2000            0.0            0.0          0.000           0.00           0.00
     28/03/2000            0.0            0.0          0.000           0.00           0.00
     29/03/2000            0.0            0.0          0.000           0.00           0.00
     30/03/2000            0.0            0.0          0.000           0.00           0.00
     31/03/2000            0.0            0.0          0.000           0.00           0.00
     01/04/2000            0.0            0.0          0.000           0.00           0.00
     02/04/2000            0.0            0.0          0.000           0.00           0.00
     03/04/2000            0.0            0.0          0.000           0.00           0.00
     04/04/2000            0.0            0.0          0.000           0.00           0.00
     05/04/2000            0.0            0.0          0.000           0.00           0.00
     06/04/2000           23.0            0.0          0.100           1.50           0.80
     07/04/2000           26.6            0.0          0.106           1.72           0.95
     08/04/2000           34.3            0.0          0.118           2.18           1.25
     09/04/2000           40.3            0.0          0.128           2.54           1.49
     10/04/2000           45.6            0.0          0.136           2.86           1.70
     11/04/2000           55.4            0.0          0.152           3.44           2.09
     12/04/2000           70.0            0.0          0.176           4.32           2.68
     13/04/2000           84.0            0.0          0.198           5.16           3.24
     14/04/2000          101.6            0.0          0.227           6.22           3.95
     15/04/2000          122.0            0.0          0.259           7.44           4.76
     16/04/2000          139.7            0.0          0.288           8.50           5.47
     17/04/2000          159.8            0.0          0.320           9.71           6.27
     18/04/2000          175.0            0.0          0.344          10.62           6.88
     19/04/2000          180.6            0.0          0.353          10.95           7.10
     20/04/2000          187.7            0.0          0.365          11.38           7.39
     21/04/2000          198.5            0.0          0.382          12.03           7.82
     22/04/2000          226.7            0.0          0.427          13.72           8.95
     23/04/2000          233.4            0.0          0.438          14.13           9.22
     24/04/2000          249.0            0.0          0.462          15.06           9.84
     25/04/2000          268.9            0.0          0.494          16.26          10.64
     26/04/2000          293.4            0.0          0.533          17.73          11.62
     27/04/2000          321.2            0.0          0.577          19.39          12.73
     28/04/2000          355.3            0.0          0.631          21.44          14.09
     29/04/2000          386.2            0.0          0.680          23.29          15.33
     30/04/2000          409.4            0.0          0.717          24.68          16.26
     01/05/2000          434.7            0.0          0.757          26.20          17.27
     02/05/2000          461.5            0.0          0.799          27.81          18.34
     03/05/2000          488.8            0.0          0.842          29.45          19.43
     04/05/2000          508.8            0.0          0.873          30.65          20.23
     05/05/2000          523.3            0.0          0.896          31.52          20.81
     06/05/2000          542.8            0.0          0.927          32.69          21.59
     07/05/2000          547.0            0.0          0.933          32.94          21.76
     08/05/2000          566.3            0.0          0.963          34.10          22.53
     09/05/2000          595.9            0.0          1.010          35.88          23.72
     10/05/2000          634.9            0.0          1.070          38.21          25.28
     11/05/2000          653.5            0.0          1.099          39.33          26.02
     12/05/2000          658.8            0.0          1.107          39.65          26.23
     13/05/2000          671.1            0.0          1.127          40.39          26.72
     14/05/2000          694.2            0.0          1.162          41.77          27.65
     15/05/2000          712.8            0.0          1.191          42.89          28.39
     16/05/2000          727.5            0.0          1.214          43.77          28.98
     17/05/2000          758.3            0.0          1.262          45.62          30.21
     18/05/2000          788.6            0.0          1.309          47.44          31.42
     19/05/2000          824.4            0.0          1.364          49.58          32.85
     20/05/2000          855.0            0.0          1.411          51.42          34.08
     21/05/2000          864.0            0.0          1.425          51.96          34.44
     22/05/2000          889.7            0.0          1.464          53.50          35.47
     23/05/2000          928.1            0.0          1.523          55.80          37.00
     24/05/2000          968.7            0.0          1.585          58.24          38.63
