ApsimVersion = 7.10
Title = Maize P
           Date            esw            day           year          yield         stover        biomass            lai    pfact_photo    nfact_photo    swdef_photo
   (dd/mm/yyyy)           (mm)          (day)         (year)        (kg/ha)        (kg/ha)        (kg/ha)        (m2/m2)             ()             ()             ()
     01/09/1988          0.000            245           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     02/09/1988          0.000            246           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     03/09/1988          0.000            247           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     04/09/1988          0.000            248           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     05/09/1988          0.000            249           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     06/09/1988          0.000            250           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     07/09/1988          4.768            251           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     08/09/1988          0.608            252           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     09/09/1988          0.000            253           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     10/09/1988          0.000            254           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     11/09/1988          0.000            255           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     12/09/1988         10.147            256           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     13/09/1988         18.898            257           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     14/09/1988         17.555            258           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     15/09/1988         27.260            259           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     16/09/1988         24.580            260           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     17/09/1988         21.060            261           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     18/09/1988         20.334            262           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     19/09/1988         19.706            263           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     20/09/1988         19.146            264           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     21/09/1988         18.634            265           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     22/09/1988         18.161            266           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     23/09/1988         17.718            267           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     24/09/1988         17.301            268           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     25/09/1988         16.905            269           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     26/09/1988         16.528            270           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     27/09/1988         16.167            271           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
