ApsimVersion = 7.3
Title = Millet
           Date   millet.stage  millet1.stage  millet2.stage  millet3.stage  millet4.stage  millet5.stage millet.plant_status millet1.plant_status millet2.plant_status millet3.plant_status millet4.plant_status millet5.plant_status millet_biomass   millet_yield     millet_lai millet.biomass millet1.biomass millet2.biomass millet3.biomass millet4.biomass millet5.biomass   millet.yield  millet1.yield  millet2.yield  millet3.yield  millet4.yield  millet5.yield     millet.lai    millet1.lai    millet2.lai    millet3.lai    millet4.lai    millet5.lai
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()                  ()                   ()                   ()                   ()                   ()                   ()             ()             ()             ()        (kg/ha)         (kg/ha)         (kg/ha)         (kg/ha)         (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)      (m^2/m^2)      (m^2/m^2)      (m^2/m^2)      (m^2/m^2)      (m^2/m^2)
     01/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     02/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     03/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     04/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     05/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     06/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     07/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     08/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     09/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     10/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     11/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     12/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     13/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     14/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     15/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     16/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     17/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     18/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     19/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     20/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     21/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     22/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     23/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     24/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     25/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     26/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     27/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     28/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     29/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     30/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     31/01/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     01/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     02/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     03/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     04/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     05/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     06/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
