ApsimVersion = 7.6
Title = OilPalm Block AnnualOutput
           year           Date            Age    AnnualYield CumulativeFrondNumber  AnnualBunches     AnnualRain   AnnualRunoff AnnualDrainage       AnnualEo AnnualRadiation      AnnualNPP  AnnualRootNPP AnnualFrondNPP  AnnualStemNPP AnnualBunchNPP AnnualTotalVegetativeNPP AnnualPalmVegetativeNPP  AnnualNUptake AnnualUnderstoryNPP AnnualUnderstoryNFixation AnnualUnderstoryNUptake      AnnualN2O AnnualDenitrification   AnnualNLeach   AnnualCO2atm          oc(1)          oc(2)          oc(3)   carbon_tot()      nit_tot() AnnualAverageNO3 AnnualAverageSW     ProfileDUL      ProfileLL     ProfileSAT AnnualAverageLitterWt AnnualAverageLitterN AnnualNRemoved AnnualFertiliserNAdded AnnualAverageWaterStress AnnualAverageNStress AnnualTotalNInput
         (year)   (dd/mm/yyyy)             ()             ()                    ()             ()             ()           (mm)           (mm)           (mm)              ()             ()             ()             ()             ()             ()                       ()                      ()             ()                  ()                        ()                      ()        (kg/ha)               (kg/ha)        (kg/ha)             ()            (%)            (%)            (%)        (kg/ha)        (kg/ha)          (kg/ha)            (mm)           (mm)           (mm)           (mm)               (kg/ha)              (kg/ha)             ()                (kg/ha)                       ()                   ()                ()
           1996     31/12/1996          0.838              ?                47.000              ?       1860.200         64.499       1103.995       1271.903        4964.098         41.446         41.446        145.431          3.037         50.821                31171.141                 189.914          2.186           30981.217                   286.267                 235.115            6.0                  31.6           10.8       7552.295          2.388          0.839          0.497       312508.6        31442.7            160.1        2128.560       2120.600       1620.600       2370.600               92571.5                647.4              ?                   12.6                    1.000                1.000           298.866
           1997     31/12/1997          1.838          1.300                94.000         23.035       1375.400         66.556        662.713       1523.783        5988.698        289.351        289.351        795.070         43.952        720.889                33386.363                1128.373         15.139           32258.002                   298.064                 304.295            2.0                  11.3           46.9      13436.663          2.538          0.824          0.493       313622.2        31562.6            114.1        2098.662       2120.600       1620.600       2370.600               97585.0                868.2          4.155                   33.3                    1.000                1.000           331.364
           1998     31/12/1998          2.838          5.424               142.000         25.361       2716.000        210.937       1647.291       1620.784        6350.901       1340.114       1340.114       3368.319        305.532       3195.525                33593.398                5013.965         66.514           28579.432                   264.074                 336.094            7.9                  48.2           81.1      16190.409          2.648          0.808          0.489       314349.4        31735.9            145.6        2133.159       2120.600       1620.600       2370.600               88664.9                943.0         17.335                   67.5                    1.000                1.000           331.574
           1999     31/12/1999          3.838         17.282               182.000         28.890       2246.101        201.748       1114.153       1588.326        6344.300       3344.248       3344.248       7202.688        914.458       9490.518                25925.639               11461.394        161.878           14464.254                   133.650                 170.100           15.7                  89.7           78.2      16374.350          2.731          0.793          0.486       314849.2        31999.9            341.2        2130.247       2120.600       1620.600       2370.600               69006.8                753.7         55.231                  108.0                    1.000                1.000           241.650
           2000     31/12/2000          4.841         23.537               218.000         22.999       2246.101        203.063        897.153       1572.097        6361.400       5240.979       5240.979      10592.084       1712.409      13127.158                23277.430               17545.457        235.875            5731.962                    52.963                  67.408           20.6                 113.9          150.4      14748.119          2.761          0.778          0.483       314827.3        32078.3            523.8        2126.447       2120.600       1620.600       2370.600               43210.7                411.7         75.222                  135.0                    1.000                1.000           187.963
           2001     31/12/2001          5.841         36.343               251.000         25.710       2246.101        197.402        711.530       1558.010        6344.299       6228.823       6228.824      12020.021       2343.104      19373.758                23318.900               20591.943        296.359            2726.949                    25.197                  32.069           17.3                  94.5          162.1      12422.361          2.757          0.765          0.480       314472.5        31961.4            537.2        2119.310       2120.600       1620.600       2370.600               22677.4                180.6        116.149                  141.8                    1.000                1.000           166.947
           2002     31/12/2002          6.841         37.320               282.000         20.356       2246.101        275.116        483.708       1552.224        6339.199       6694.555       6694.555      13319.504       3038.022      19857.674                24776.322               23052.078        317.474            1724.243                    15.932                  20.277           12.7                  69.0           98.2      11525.693          2.762          0.752          0.477       314269.2        31881.9            451.1        2109.589       2120.600       1620.600       2370.600                7898.8                 65.6        119.271                  141.8                    1.000                1.000           157.682
           2003     31/12/2003          7.841         38.173               311.000         18.802       2811.100        458.687        773.645       1520.759        6191.198       6773.175       6773.175      13825.407       3450.450      20823.996                25283.877               24049.033        327.825            1234.842                    11.410                  14.522           13.8                  74.1          122.3       7212.799          2.693          0.740          0.475       313191.0        31680.0            357.2        2084.409       2120.600       1620.600       2370.600                 995.4                 11.6        121.998                  141.8                    0.994                1.000           153.160
           2004     31/12/2004          8.844         36.747               339.000         16.100       1768.000        179.668        287.829       1554.489        6349.102       6597.615       6597.614      14376.777       3594.195      19211.723                25630.818               24568.590        320.469            1062.226                     9.815                  12.492            7.6                  40.7           31.3       6783.587          2.667          0.728          0.472       312705.3        31616.7            329.2        2031.469       2120.600       1620.600       2370.600                1035.8                 12.2        117.440                  141.8                    0.942                1.000           151.565
           2005     31/12/2005          9.844         38.972               366.000         14.947       2704.101        444.933        480.253       1510.044        6137.998       6832.471       6832.470      14680.191       3670.048      20956.342                26070.900               25182.713        334.691             888.189                     8.207                  10.445           11.3                  60.9           44.7       7052.817          2.645          0.717          0.470       312184.8        31515.3            297.0        2066.334       2120.600       1620.600       2370.600                1054.6                 12.4        124.551                  141.8                    0.980                1.000           149.957
