ApsimVersion = 7.8
Title = Rotation Sample (Directed Graph)
           Date Paddock.chickpea.yield Paddock.wheat.yield Paddock.cotton.yield Paddock.chickpea.biomass Paddock.wheat.biomass
   (dd/mm/yyyy)                (kg/ha)             (kg/ha)              (kg/ha)                  (kg/ha)               (kg/ha)
     29/04/1941                    0.0                 0.0               1207.8                      0.0                   0.0
     25/12/1941                    0.0                 0.0                  0.0                      0.0                   0.0
     18/10/1942                  395.0                 0.0                  0.0                   2055.4                   0.0
     28/10/1943                    0.0              1980.5                  0.0                      0.0                7924.1
     17/02/1945                    0.0                 0.0                711.0                      0.0                   0.0
     28/10/1945                 2371.3                 0.0                  0.0                   5965.5                   0.0
     08/06/1947                    0.0                 0.0               2195.5                      0.0                   0.0
     05/11/1947                 2139.3                 0.0                  0.0                   5701.4                   0.0
     30/10/1948                    0.0              1737.7                  0.0                      0.0                6817.5
     06/02/1950                    0.0                 0.0                388.9                      0.0                   0.0
     19/10/1950                 2369.5                 0.0                  0.0                   6018.7                   0.0
