ApsimVersion = 7.8
Title = Rotation Sample Phases
           Date   currentState       Rainfall         runoff           evap       drainage             Ep        swStart          swEnd       no3Start         no3End        Biomass          Yield         grainN         carbon   applied_fert rotationNumber simulation_days    daysInPhase
   (dd/mm/yyyy)             ()           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)         (g/m2)        (kg/ha)        (kg/ha)            (n)              ()             ()
     01/01/1940  summer_fallow              ?          0.000          0.000          0.000          0.000        711.000        711.000           55.0           55.0            0.0            0.0          0.000       202877.0            0.0              0               0              0
     27/05/1942  summer_fallow        977.800         81.398        748.453        181.936          0.000        711.000        677.017           55.0          292.0            0.0            0.0          0.000       199475.4            0.0              0             877            877
     10/10/1942          wheat        148.200          5.953        112.699         12.159        154.055        677.017        540.353          292.0          272.2         7811.0         3519.8         10.112       199427.6          150.0              0            1013            136
     01/06/1943 summer_fallow2        449.700         40.029        263.885          0.000          0.000        540.353        686.139          272.2          337.4            0.0            0.0          0.000       199019.6            0.0              0            1247            234
     03/11/1943       chickpea        153.700          1.531        142.411          0.000        173.134        686.139        522.762          337.4          208.6         6115.5         2255.8          8.121       198919.2            0.0              0            1402            155
     01/06/1945  summer_fallow        880.300         45.937        621.919         35.848          0.000        522.762        698.671          208.6          396.8            0.0            0.0          0.000       197013.9            0.0              1            1978            576
     22/10/1945          wheat        234.000         28.327        124.376         70.130        174.205        698.671        535.633          396.8          302.5         9262.8         3286.8          9.520       197053.8          150.0              1            2121            143
     26/05/1947 summer_fallow2       1025.900        122.150        554.114        188.632          0.000        535.633        696.637          302.5          343.6            0.0            0.0          0.000       195579.8            0.0              1            2702            581
     30/10/1947       chickpea        195.300          1.669        135.344          8.011        197.157        696.637        549.756          343.6          209.1         7537.6         2981.9         10.735       195458.5            0.0              1            2859            157
     08/06/1948  summer_fallow        382.700         14.329        292.286          0.000          0.000        549.756        623.946          209.1          297.8            0.0            0.0          0.000       195309.3            0.0              2            3081            222
     29/10/1948          wheat        223.400         12.681        136.264          0.000        169.598        623.946        528.803          297.8          248.7         9392.3         2739.4          7.926       195402.5          150.0              2            3224            143
     02/06/1949 summer_fallow2        452.600         26.340        260.203          0.000          0.000        528.803        694.861          248.7          320.7            0.0            0.0          0.000       195426.7            0.0              2            3440            216
     31/10/1949       chickpea        211.800          0.196        125.096          0.000        212.748        694.861        568.621          320.7          196.7         7622.9         2850.1         10.260       195170.5            0.0              2            3591            151
     24/05/1950  summer_fallow        259.300         10.268        208.071          0.000          0.000        568.621        605.582          196.7          291.5            0.0            0.0          0.000       195054.2            0.0              3            3796            205
     12/10/1950          wheat        463.400         43.792        163.003         73.781         95.097        605.582        693.310          291.5          308.9         5300.6         2004.6          5.771       194759.6          150.0              3            3937            141
