ApsimVersion = 7.10
Title = SWIM3 Maize with Cl
           Date        biomass          yield   GrainProtein      GrainSize            esw           cl()
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)            (%)  (g/1000grain)           (mm)        (kg/ha)
     24/03/1941        26682.1        11854.3          8.418        275.245        147.501        11704.1
     01/03/1942        13825.2         2188.9          9.295        198.067         65.333        22524.0
     21/03/1943        22915.3        11058.7          8.740        255.782         49.397        33450.8
     19/03/1944        23601.6         9133.0          8.852        281.204         57.265        45415.0
     09/03/1945        20255.4         8074.0          8.791        256.975        112.906        55481.2
     17/03/1946        25999.6        11212.0          8.489        280.215         75.141        65926.9
     17/03/1947        23838.6         8225.5          8.994        289.583         89.220        75796.0
     25/03/1948        28167.6        11126.0          8.898        282.404        100.079        86455.1
     15/03/1949        27975.1        13080.0          8.291        278.942        108.687        97503.2
     14/03/1950        23770.1        11762.5          8.004        270.531        124.374       108639.0
     29/03/1951        29426.9        12223.5          8.711        279.866        129.155       118259.5
     22/03/1952        23199.7         7686.2          9.212        282.627        182.923       128850.3
     25/03/1953        28204.4        11143.4          8.749        279.925        269.178       139857.8
     17/03/1954        25263.0        11823.9          8.151        274.130        188.345       150445.5
     19/03/1955        28344.8        11667.9          8.801        283.946        198.811       159508.3
     22/03/1956        28315.2        12164.7          8.570        279.590        217.804       169317.8
     24/03/1957        28474.7        10735.5          8.814        281.448        197.633       159759.5
     12/03/1958        25936.3         9827.3          8.867        278.609        263.684       168885.0
     21/03/1959        27431.6        11908.2          8.503        277.635        228.457       178740.1
     18/03/1960        28543.8        12618.7          8.410        279.424        260.250       182287.0
