ApsimVersion = 7.10
Title = SWIM3 Maize
           Date        biomass          yield   GrainProtein      GrainSize            esw           cl()
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)            (%)  (g/1000grain)           (mm)        (kg/ha)
     24/03/1941        26844.7        11878.3          8.521        275.440        150.502           20.5
     27/02/1942        12542.4         1199.7          9.295        182.842         62.114           20.5
     21/03/1943        20662.9         9385.2          9.295        243.774         39.887           20.5
     14/03/1944        17840.4         5107.4          9.295        269.911         38.798           20.5
     01/03/1945        14185.3         2594.6          9.295        202.000        117.812           20.5
     17/03/1946        20811.2         7657.6          9.295        284.471         41.481           20.5
     14/03/1947        14192.0         1208.8          9.295        290.239         67.147           20.5
     25/03/1948        18544.5         2728.0          9.295        290.327         42.328           20.5
     01/03/1949        16935.4         6190.7          9.295        201.410         82.518           20.5
     20/02/1950        10211.2          637.8          9.295        131.669        102.207           20.5
     29/03/1951        26920.9        12610.0          9.295        288.319         50.109           20.5
     02/03/1952         9585.0            0.0          0.000          0.000        136.698           20.5
     12/03/1953        12602.4          434.1          9.295        205.345        171.659           20.5
     06/03/1954        16875.4         3712.0          9.295        228.118        110.502           20.5
     19/03/1955        23604.8         8469.9          9.295        289.571         50.338           20.5
     03/03/1956        16474.6         4311.9          9.295        156.976        134.559           20.5
     12/03/1957        18598.5         5624.0          9.295        233.929         71.806           20.5
     28/02/1958        11072.7          292.0          9.295        184.960         45.032           20.5
     07/03/1959        17092.3         5500.7          9.295        216.260         66.166           20.5
     09/03/1960        15573.1         3150.3          9.295        237.122         45.789           20.5
