ApsimVersion = 7.8
Title = C450
           Date           year            day    wheat_yield     wheat_biom            esw          no3() RainSinceSowing         Transp       SoilEvap
   (dd/mm/yyyy)         (year)          (day)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)            (mm)           (mm)           (mm)
     16/03/1960           1960             76         2036.1         5636.1        108.367           28.7          33.000        139.093         65.363
     18/03/1961           1961             77         3481.9         7978.8        111.150           24.2         106.000        179.225         85.773
     23/03/1962           1962             82         2262.3         6325.0         95.994           23.7          39.000        143.719         75.215
     19/03/1963           1963             78         1887.6         5525.5        115.797           30.4          34.000        138.831         58.584
     19/03/1964           1964             79         2250.7         6320.4         99.676           25.7           8.000        132.322         56.406
     18/03/1965           1965             77         2758.8         6383.4         94.380           23.8          35.000        148.100         71.073
     16/03/1966           1966             75         2103.9         5675.2         99.507           26.8          32.000        132.709         62.796
     18/03/1967           1967             77         2101.8         5892.2         99.102           26.4          76.000        137.425         73.546
     21/03/1968           1968             81         2304.7         6434.4        106.110           25.8          23.000        127.739         59.195
     21/03/1969           1969             80         2222.2         6247.8        103.074           25.3          34.000        132.239         69.050
     19/03/1970           1970             78         3523.6         7527.3        117.574           24.4          88.000        156.053         83.500
     22/03/1971           1971             81         2507.2         6687.9        102.319           23.3          16.000        137.298         60.686
     22/03/1972           1972             82         2848.7         6898.5         95.165           24.8          11.000        134.638         58.289
     20/03/1973           1973             79         2513.9         6481.8        130.650           25.1          85.000        143.922         83.144
     20/03/1974           1974             79         2140.5         6045.6         98.477           25.8          97.000        130.170         54.244
     20/03/1975           1975             79         2184.7         6125.6         98.684           24.9          12.000        131.954         61.211
     19/03/1976           1976             79         2626.7         6706.4        107.519           25.2          48.000        146.242         68.296
     20/03/1977           1977             79         2502.3         6436.2         96.964           23.8          26.000        140.926         61.360
     20/03/1978           1978             79         2145.5         6037.8         98.549           25.8          40.000        130.070         53.442
     20/03/1979           1979             79         3414.0         7530.4        111.297           22.5          87.000        167.306         71.483
     18/03/1980           1980             78         3759.6         7912.0        126.797           24.9         127.000        164.351         96.427
     20/03/1981           1981             79         3872.7         8024.6        122.014           23.6         130.000        176.546         80.109
     21/03/1982           1982             80         2367.9         6158.3        118.026           30.3         199.000        136.576         82.433
     25/03/1983           1983             84         3857.8         8164.0        158.723           23.3         210.000        183.595         95.330
     24/03/1984           1984             84         2694.5         6988.8         97.390           24.2          66.000        138.987         61.962
     21/03/1985           1985             80         2297.9         6266.4         98.389           26.0          50.000        131.198         61.082
     20/03/1986           1986             79         2251.5         6024.4         96.750           26.2           9.000        131.064         51.758
     19/03/1987           1987             78         2161.3         6054.9        124.912           27.9          54.000        125.884         72.327
     16/03/1988           1988             76         2784.5         6428.2        159.117           23.8         124.000        139.713         83.988
     22/03/1989           1989             81         2546.3         6487.2         95.773           25.9           2.000        131.257         53.010
     22/03/1990           1990             81         3536.1         7568.8        100.991           24.6          78.000        152.540         87.791
     20/03/1991           1991             79         2245.4         6107.0        105.276           28.2          75.000        135.155         88.999
     24/03/1992           1992             84         4035.0         8542.6        107.798           23.2         180.000        169.554         94.977
     24/03/1993           1993             83         3049.0         6986.5        102.959           23.3          48.020        142.190         66.807
     19/03/1994           1994             78         3464.0         7736.5        101.817           22.3          41.000        151.701         63.765
     24/03/1995           1995             83         2415.2         6490.5         94.312           23.9          42.000        143.407         78.735
     19/03/1996           1996             79         2600.8         6569.3         99.863           25.1          62.000        135.366         68.671
     22/03/1997           1997             81         2978.1         7704.4         99.093           22.1          54.000        156.106         79.485
     25/03/1998           1998             84         2735.0         6937.5        155.302           23.5         217.000        137.951         99.426
     17/03/1999           1999             76         2060.9         5915.5        100.676           26.9           0.000        130.575         50.385
     22/03/2000           2000             82         3087.5         7448.6        100.488           22.6          27.000        132.820         71.676
     21/03/2001           2001             80         2290.6         6428.6         96.631           24.2          21.000        137.959         62.802
     18/03/2002           2002             77         2392.8         6558.7        103.738           23.6          22.000        134.924         67.154
     26/03/2003           2003             85         2644.7         6848.1        145.313           25.0          89.060        119.652         78.057
     21/03/2004           2004             81         2264.1         6520.0        100.289           24.6          35.000        119.982         72.834
     22/03/2005           2005             81         2551.1         6773.4         99.937           23.9          53.000        126.167         73.072
     17/03/2006           2006             76         2500.4         6289.9        100.784           26.4           1.000        121.748         50.536
     22/03/2007           2007             81         4053.1         8491.3        120.775           24.8          86.020        152.022         82.484
     21/03/2008           2008             81         3000.8         7661.5        103.863           23.3           1.000        126.810         52.363
     17/03/2009           2009             76         3797.7         7896.9        112.149           24.0          86.000        163.436         81.534
