ApsimVersion = 7.8
Title = Silt Fallow field
           Date           year            day           rain            esw             es         runoff          drain          no3()   dlt_n_min(1)   dlt_n_min(2)   dlt_n_min(3)   dlt_n_min(4)   dlt_n_min(5)   dlt_n_min(6)   surfaceom_wt surfaceom_cover
   (dd/mm/yyyy)         (year)          (day)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)       (m^2/m^2)
     01/01/2001           2001              1          0.000        204.692          3.958          0.000          0.000            9.8            0.1           -0.0           -0.0           -0.0           -0.0           -0.0            0.0           0.000
     02/01/2001           2001              2          0.000        202.608          2.084          0.000          0.000           10.7            0.2           -0.0           -0.0           -0.0           -0.0           -0.0            0.0           0.000
     03/01/2001           2001              3          0.000        201.585          1.023          0.000          0.000           11.4            0.2           -0.0            0.0           -0.0           -0.0           -0.0            0.0           0.000
     04/01/2001           2001              4          0.000        200.796          0.789          0.000          0.000           12.1            0.2           -0.0            0.0           -0.0           -0.0           -0.0            0.0           0.000
     05/01/2001           2001              5          0.000        200.129          0.667          0.000          0.000           12.6            0.3            0.0            0.0           -0.0           -0.0           -0.0            0.0           0.000
     06/01/2001           2001              6          0.000        199.541          0.588          0.000          0.000           13.0            0.2            0.0            0.0           -0.0           -0.0           -0.0            0.0           0.000
     07/01/2001           2001              7          0.000        199.009          0.532          0.000          0.000           13.4            0.2            0.0            0.0           -0.0           -0.0           -0.0            0.0           0.000
     08/01/2001           2001              8          0.000        198.520          0.489          0.000          0.000           13.7            0.2            0.0            0.0           -0.0           -0.0           -0.0            0.0           0.000
     09/01/2001           2001              9          0.000        198.064          0.456          0.000          0.000           14.0            0.2            0.0            0.0           -0.0           -0.0           -0.0            0.0           0.000
     10/01/2001           2001             10          0.000        197.636          0.428          0.000          0.000           14.2            0.2            0.0            0.0           -0.0           -0.0           -0.0            0.0           0.000
     11/01/2001           2001             11          0.000        197.231          0.405          0.000          0.000           14.5            0.2            0.0            0.0           -0.0           -0.0           -0.0            0.0           0.000
     12/01/2001           2001             12          0.000        196.846          0.385          0.000          0.000           14.8            0.3            0.0            0.0           -0.0           -0.0           -0.0            0.0           0.000
     13/01/2001           2001             13          0.000        196.478          0.368          0.000          0.000           15.1            0.3            0.0            0.0           -0.0           -0.0           -0.0            0.0           0.000
     14/01/2001           2001             14          0.000        196.125          0.353          0.000          0.000           15.5            0.3            0.0            0.0           -0.0           -0.0           -0.0            0.0           0.000
     15/01/2001           2001             15          0.000        195.785          0.340          0.000          0.000           15.8            0.3            0.1            0.0           -0.0           -0.0           -0.0            0.0           0.000
     16/01/2001           2001             16          0.000        195.457          0.328          0.000          0.000           16.1            0.3            0.1            0.0            0.0           -0.0           -0.0            0.0           0.000
     17/01/2001           2001             17          0.000        195.140          0.317          0.000          0.000           16.5            0.3            0.1            0.0            0.0           -0.0           -0.0            0.0           0.000
     18/01/2001           2001             18          0.000        194.832          0.307          0.000          0.000           16.9            0.3            0.1            0.0            0.0           -0.0           -0.0            0.0           0.000
     19/01/2001           2001             19          0.000        194.534          0.299          0.000          0.000           17.4            0.3            0.1            0.0            0.0           -0.0           -0.0            0.0           0.000
     20/01/2001           2001             20          0.000        194.243          0.290          0.000          0.000           17.8            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     21/01/2001           2001             21          0.000        193.960          0.283          0.000          0.000           18.3            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     22/01/2001           2001             22          0.000        193.684          0.276          0.000          0.000           18.7            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     23/01/2001           2001             23          0.000        193.415          0.269          0.000          0.000           19.2            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     24/01/2001           2001             24          0.000        193.152          0.263          0.000          0.000           19.7            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     25/01/2001           2001             25          0.000        192.894          0.258          0.000          0.000           20.2            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     26/01/2001           2001             26          0.000        192.642          0.252          0.000          0.000           20.7            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     27/01/2001           2001             27          0.000        192.394          0.247          0.000          0.000           21.1            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     28/01/2001           2001             28          0.000        192.152          0.243          0.000          0.000           21.5            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     29/01/2001           2001             29          0.000        191.913          0.238          0.000          0.000           21.9            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     30/01/2001           2001             30          0.000        191.679          0.234          0.000          0.000           22.3            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     31/01/2001           2001             31          0.000        191.449          0.230          0.000          0.000           22.7            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     01/02/2001           2001             32          0.000        191.223          0.226          0.000          0.000           23.2            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     02/02/2001           2001             33          0.000        191.000          0.223          0.000          0.000           23.7            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     03/02/2001           2001             34          0.000        190.781          0.219          0.000          0.000           24.2            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     04/02/2001           2001             35          0.000        190.565          0.216          0.000          0.000           24.8            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     05/02/2001           2001             36          0.000        190.353          0.213          0.000          0.000           25.3            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     06/02/2001           2001             37          0.000        190.143          0.210          0.000          0.000           25.9            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     07/02/2001           2001             38          0.000        189.936          0.207          0.000          0.000           26.4            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     08/02/2001           2001             39          0.000        189.732          0.204          0.000          0.000           26.9            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     09/02/2001           2001             40          0.000        189.531          0.201          0.000          0.000           27.4            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     10/02/2001           2001             41          0.000        189.332          0.199          0.000          0.000           27.9            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     11/02/2001           2001             42          0.000        189.136          0.196          0.000          0.000           28.4            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     12/02/2001           2001             43          0.000        188.942          0.194          0.000          0.000           28.9            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     13/02/2001           2001             44          0.000        188.750          0.192          0.000          0.000           29.4            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     14/02/2001           2001             45          0.000        188.561          0.189          0.000          0.000           29.9            0.3            0.1            0.1            0.0           -0.0           -0.0            0.0           0.000
     15/02/2001           2001             46          0.000        188.373          0.187          0.000          0.000           30.5            0.3            0.2            0.1            0.0           -0.0           -0.0            0.0           0.000
     16/02/2001           2001             47          0.000        188.188          0.185          0.000          0.000           31.1            0.3            0.2            0.1            0.0           -0.0           -0.0            0.0           0.000
     17/02/2001           2001             48          0.000        188.005          0.183          0.000          0.000           31.7            0.3            0.2            0.1            0.0           -0.0           -0.0            0.0           0.000
     18/02/2001           2001             49          0.000        187.823          0.181          0.000          0.000           32.3            0.3            0.2            0.1            0.0           -0.0           -0.0            0.0           0.000
     19/02/2001           2001             50          0.000        187.644          0.179          0.000          0.000           32.9            0.3            0.2            0.1            0.0           -0.0           -0.0            0.0           0.000
     20/02/2001           2001             51          0.000        187.466          0.178          0.000          0.000           33.5            0.3            0.2            0.1            0.0           -0.0           -0.0            0.0           0.000
     21/02/2001           2001             52          0.000        187.291          0.176          0.000          0.000           34.1            0.3            0.2            0.1            0.0           -0.0           -0.0            0.0           0.000
     22/02/2001           2001             53          6.000        189.529          3.701          0.060          0.000           34.7            0.4            0.2            0.1            0.0           -0.0           -0.0            0.0           0.000
     23/02/2001           2001             54          0.000        189.330          0.199          0.000          0.000           35.3            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     24/02/2001           2001             55          0.000        189.134          0.196          0.000          0.000           35.9            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     25/02/2001           2001             56          0.000        188.940          0.194          0.000          0.000           36.6            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     26/02/2001           2001             57          0.000        188.749          0.192          0.000          0.000           37.2            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     27/02/2001           2001             58          4.000        189.053          3.695          0.000          0.000           37.8            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     28/02/2001           2001             59          0.000        188.860          0.193          0.000          0.000           38.5            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     01/03/2001           2001             60          0.000        188.669          0.191          0.000          0.000           39.2            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     02/03/2001           2001             61          0.000        188.481          0.189          0.000          0.000           39.8            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     03/03/2001           2001             62          0.000        188.295          0.186          0.000          0.000           40.5            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     04/03/2001           2001             63          0.000        188.110          0.184          0.000          0.000           41.2            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     05/03/2001           2001             64          0.000        187.928          0.182          0.000          0.000           41.9            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     06/03/2001           2001             65          0.000        187.747          0.181          0.000          0.000           42.6            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     07/03/2001           2001             66          0.000        187.569          0.179          0.000          0.000           43.2            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     08/03/2001           2001             67          0.000        187.392          0.177          0.000          0.000           43.9            0.3            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     09/03/2001           2001             68          0.000        187.217          0.175          0.000          0.000           44.5            0.3            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     10/03/2001           2001             69          0.000        187.043          0.173          0.000          0.000           45.2            0.3            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     11/03/2001           2001             70          0.000        186.871          0.172          0.000          0.000           45.9            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     12/03/2001           2001             71          0.000        186.701          0.170          0.000          0.000           46.6            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     13/03/2001           2001             72          0.000        186.533          0.169          0.000          0.000           47.3            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     14/03/2001           2001             73          0.000        186.366          0.167          0.000          0.000           48.0            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     15/03/2001           2001             74          0.000        186.200          0.166          0.000          0.000           48.8            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     16/03/2001           2001             75          0.000        186.036          0.164          0.000          0.000           49.5            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     17/03/2001           2001             76          0.000        185.873          0.163          0.000          0.000           50.3            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     18/03/2001           2001             77          0.000        185.711          0.161          0.000          0.000           51.1            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     19/03/2001           2001             78          0.000        185.551          0.160          0.000          0.000           51.8            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     20/03/2001           2001             79          0.000        185.393          0.159          0.000          0.000           52.6            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     21/03/2001           2001             80          0.000        185.235          0.158          0.000          0.000           53.4            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     22/03/2001           2001             81          0.000        185.079          0.156          0.000          0.000           54.1            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     23/03/2001           2001             82          0.000        184.924          0.155          0.000          0.000           54.9            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     24/03/2001           2001             83          1.000        184.770          1.154          0.000          0.000           55.6            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     25/03/2001           2001             84          0.000        184.617          0.153          0.000          0.000           56.3            0.3            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     26/03/2001           2001             85          0.000        184.465          0.152          0.000          0.000           57.0            0.3            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     27/03/2001           2001             86          0.000        184.315          0.151          0.000          0.000           57.7            0.3            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     28/03/2001           2001             87          0.000        184.165          0.149          0.000          0.000           58.4            0.3            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     29/03/2001           2001             88          0.000        184.017          0.148          0.000          0.000           59.1            0.3            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     30/03/2001           2001             89          0.000        183.870          0.147          0.000          0.000           59.8            0.3            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     31/03/2001           2001             90          3.000        183.723          3.146          0.000          0.000           60.5            0.3            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     01/04/2001           2001             91          0.000        183.578          0.145          0.000          0.000           61.2            0.3            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     02/04/2001           2001             92          0.000        179.539          4.039          0.000          0.000           61.7            0.1            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     03/04/2001           2001             93          7.000        182.294          4.202          0.042          0.000           62.2            0.2            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     04/04/2001           2001             94          0.000        182.094          0.200          0.000          0.000           62.8            0.2            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     05/04/2001           2001             95          0.000        181.895          0.199          0.000          0.000           63.4            0.2            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     06/04/2001           2001             96          0.000        181.699          0.197          0.000          0.000           64.0            0.2            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     07/04/2001           2001             97          0.000        181.503          0.195          0.000          0.000           64.6            0.2            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     08/04/2001           2001             98          0.000        181.310          0.194          0.000          0.000           65.2            0.2            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     09/04/2001           2001             99          0.000        181.118          0.192          0.000          0.000           65.8            0.2            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     10/04/2001           2001            100          0.000        180.927          0.190          0.000          0.000           66.4            0.2            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     11/04/2001           2001            101          0.000        180.738          0.189          0.000          0.000           67.0            0.2            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     12/04/2001           2001            102          0.000        180.551          0.187          0.000          0.000           67.5            0.2            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     13/04/2001           2001            103          0.000        180.365          0.186          0.000          0.000           68.0            0.2            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     14/04/2001           2001            104          0.000        180.180          0.185          0.000          0.000           68.6            0.2            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     15/04/2001           2001            105          0.000        179.997          0.183          0.000          0.000           69.1            0.2            0.2            0.1            0.0            0.0            0.0            0.0           0.000
