ApsimVersion = 7.10
Title = Silt rice residue field
           Date           year            day           rain            esw             es         runoff          drain          no3()   dlt_n_min(1)   dlt_n_min(2)   dlt_n_min(3)   dlt_n_min(4)   dlt_n_min(5)   dlt_n_min(6)   surfaceom_wt surfaceom_cover
   (dd/mm/yyyy)         (year)          (day)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)       (m^2/m^2)
     01/01/2001           2001              1          0.000        104.120          0.280          0.000          0.000            9.6            0.1           -0.0           -0.0           -0.0           -0.0           -0.0         1908.5           0.615
     02/01/2001           2001              2          0.000        103.847          0.273          0.000          0.000            9.9            0.2           -0.0           -0.0           -0.0           -0.0           -0.0         1833.8           0.600
     03/01/2001           2001              3          0.000        103.580          0.267          0.000          0.000            9.7            0.2           -0.0            0.0           -0.0           -0.0           -0.0         1776.4           0.589
     04/01/2001           2001              4          0.000        103.319          0.261          0.000          0.000            9.6            0.2           -0.0            0.0           -0.0           -0.0           -0.0         1739.0           0.581
     05/01/2001           2001              5          0.000        103.063          0.256          0.000          0.000            9.6            0.2            0.0            0.0           -0.0           -0.0           -0.0         1718.8           0.577
     06/01/2001           2001              6          0.000        102.813          0.250          0.000          0.000            9.8            0.2            0.0            0.0           -0.0           -0.0           -0.0         1710.1           0.575
     07/01/2001           2001              7          0.000        102.567          0.245          0.000          0.000            9.9            0.2            0.0            0.0           -0.0           -0.0           -0.0         1708.0           0.574
     08/01/2001           2001              8          0.000        102.326          0.241          0.000          0.000           10.0            0.2            0.0            0.0           -0.0           -0.0           -0.0         1708.0           0.574
     09/01/2001           2001              9          0.000        102.090          0.237          0.000          0.000           10.2            0.2            0.0            0.0           -0.0           -0.0           -0.0         1708.0           0.574
     10/01/2001           2001             10          0.000        101.857          0.232          0.000          0.000           10.3            0.2            0.0            0.0           -0.0           -0.0           -0.0         1708.0           0.574
     11/01/2001           2001             11          0.000        101.629          0.229          0.000          0.000           10.5            0.2            0.0            0.0           -0.0           -0.0           -0.0         1708.0           0.574
     12/01/2001           2001             12          0.000        101.404          0.225          0.000          0.000           10.7            0.2            0.0            0.0           -0.0           -0.0           -0.0         1708.0           0.574
     13/01/2001           2001             13          0.000        101.183          0.221          0.000          0.000           11.0            0.2            0.0            0.0           -0.0           -0.0           -0.0         1708.0           0.574
     14/01/2001           2001             14          0.000        100.965          0.218          0.000          0.000           11.2            0.2            0.1            0.0           -0.0           -0.0           -0.0         1708.0           0.574
     15/01/2001           2001             15          0.000        100.750          0.215          0.000          0.000           11.4            0.2            0.1            0.0           -0.0           -0.0           -0.0         1708.0           0.574
     16/01/2001           2001             16          0.000        100.539          0.212          0.000          0.000           11.7            0.2            0.1            0.0            0.0           -0.0           -0.0         1708.0           0.574
     17/01/2001           2001             17          0.000        100.330          0.209          0.000          0.000           12.0            0.2            0.1            0.0            0.0           -0.0           -0.0         1708.0           0.574
     18/01/2001           2001             18          0.000        100.125          0.206          0.000          0.000           12.3            0.2            0.1            0.0            0.0           -0.0           -0.0         1708.0           0.574
     19/01/2001           2001             19          0.000         99.922          0.203          0.000          0.000           12.6            0.2            0.1            0.0            0.0           -0.0           -0.0         1708.0           0.574
     20/01/2001           2001             20          0.000         99.721          0.200          0.000          0.000           13.0            0.2            0.1            0.1            0.0           -0.0           -0.0         1708.0           0.574
     21/01/2001           2001             21          0.000         99.523          0.198          0.000          0.000           13.3            0.2            0.1            0.1            0.0           -0.0           -0.0         1708.0           0.574
     22/01/2001           2001             22          0.000         99.328          0.195          0.000          0.000           13.7            0.2            0.1            0.1            0.0           -0.0           -0.0         1708.0           0.574
     23/01/2001           2001             23          0.000         99.135          0.193          0.000          0.000           14.1            0.2            0.1            0.1            0.0           -0.0           -0.0         1708.0           0.574
     24/01/2001           2001             24          0.000         98.944          0.191          0.000          0.000           14.5            0.2            0.1            0.1            0.0           -0.0           -0.0         1708.0           0.574
     25/01/2001           2001             25          0.000         98.756          0.189          0.000          0.000           14.9            0.2            0.1            0.1            0.0           -0.0           -0.0         1708.0           0.574
