ApsimVersion = 7.5
Title = Wheat-350ppm+2degC
           Date           year            day    wheat_yield     wheat_biom            esw          no3() RainSinceSowing         Transp       SoilEvap
   (dd/mm/yyyy)         (year)          (day)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)            (mm)           (mm)           (mm)
     12/03/1960           1960             72         1967.6         5007.2        114.216           29.3          33.000        131.907         63.821
     15/03/1961           1961             74         2660.9         6724.7        128.405           27.3         106.000        156.573         88.136
     19/03/1962           1962             78         2156.3         5946.0        100.639           24.4          39.000        139.347         74.516
     14/03/1963           1963             73         1904.2         5110.3        118.977           28.6          34.000        136.666         53.747
     16/03/1964           1964             76         2246.3         6032.1        103.400           25.2           8.000        127.098         56.043
     14/03/1965           1965             73         2637.1         5832.2         98.083           24.6          35.000        140.932         71.075
     12/03/1966           1966             71         2152.3         5181.4        103.565           28.0          32.000        125.167         62.479
     14/03/1967           1967             73         2104.2         5334.3        102.750           26.2          76.000        129.884         73.466
     17/03/1968           1968             77         2277.6         5926.9        102.386           24.9           5.000        121.300         55.023
     18/03/1969           1969             77         2203.2         5906.2        108.933           24.9          30.000        126.633         63.179
     16/03/1970           1970             75         3147.8         6843.9        129.906           24.3          88.000        141.728         83.979
     18/03/1971           1971             77         2420.2         5956.2        108.528           23.5          16.000        126.790         60.889
     18/03/1972           1972             78         2609.6         6337.0        101.411           24.5          11.000        125.725         57.820
     16/03/1973           1973             75         2424.2         6133.5        139.065           25.0          85.000        135.506         81.357
     16/03/1974           1974             75         2184.8         5727.4        102.500           25.5          97.000        123.729         53.793
     16/03/1975           1975             75         2218.3         5787.1        102.648           24.7          12.000        125.148         60.979
     15/03/1976           1976             75         2619.8         6273.1        117.514           24.3          48.000        137.694         63.558
     16/03/1977           1977             75         2549.0         6101.9        102.655           24.3          26.000        134.174         60.708
     16/03/1978           1978             75         2185.9         5731.3        102.503           25.5          40.000        123.824         53.063
     16/03/1979           1979             75         3075.8         6741.3        120.982           23.2          87.000        150.208         73.477
     14/03/1980           1980             74         3002.2         7039.8        142.907           25.9         127.000        143.765         96.110
     16/03/1981           1981             75         3133.1         7074.1        138.476           24.6         130.000        154.981         81.129
     17/03/1982           1982             76         2390.0         5709.4        125.063           30.1         195.000        128.000         77.709
     21/03/1983           1983             80         3304.7         7303.6        178.369           22.6         210.000        165.297         90.526
     21/03/1984           1984             81         2652.3         6799.7        103.292           24.3          66.000        132.024         61.908
     17/03/1985           1985             76         2180.7         5932.7        103.253           25.9          50.000        125.193         60.989
     17/03/1986           1986             76         2280.5         5751.4         99.960           26.1           9.000        125.814         51.602
     15/03/1987           1987             74         2191.6         5719.2        134.549           26.8          54.000        119.336         66.160
     12/03/1988           1988             72         2755.4         6040.9        136.280           24.4          80.000        132.398         78.507
     19/03/1989           1989             78         2549.2         6282.4         98.754           25.7           2.000        127.252         52.531
     18/03/1990           1990             77         3084.1         6869.1        117.247           25.5          78.000        135.589         88.300
     16/03/1991           1991             75         2178.0         5691.8        113.210           27.1          75.000        128.256         85.029
     20/03/1992           1992             80         3405.5         7924.3        120.099           23.3         180.000        155.063         97.177
     20/03/1993           1993             79         2887.9         6800.7         99.129           23.6          33.020        135.161         64.118
     16/03/1994           1994             75         3198.4         7322.8        109.947           22.5          41.000        140.952         63.848
     20/03/1995           1995             79         2407.8         6360.9         96.021           24.3          42.000        141.472         78.166
     15/03/1996           1996             75         2493.0         6450.7        104.322           25.5          62.000        130.102         67.785
     19/03/1997           1997             78         2822.1         7323.9        105.520           22.7          54.000        147.942         79.235
     21/03/1998           1998             80         2600.5         6731.3        108.660           24.2         106.000        131.829         94.563
     15/03/1999           1999             74         2016.4         5747.4        103.349           27.2           0.000        127.363         50.072
     18/03/2000           2000             78         2929.1         7241.6        106.126           22.5          22.000        126.522         67.819
     17/03/2001           2001             76         2271.5         6248.9        101.153           25.8          21.000        134.485         61.676
     14/03/2002           2002             73         2286.9         6211.2        108.808           23.6          22.000        127.796         67.326
     22/03/2003           2003             81         2459.9         6830.6        154.563           26.8          89.060        112.657         73.897
     17/03/2004           2004             77         2352.5         6366.6        104.534           24.6          35.000        115.348         72.402
     19/03/2005           2005             78         2535.9         6622.5        104.069           23.9          53.000        121.132         72.493
     14/03/2006           2006             73         2423.6         6243.1        104.560           26.4           0.000        117.538         50.038
     18/03/2007           2007             77         3544.4         7883.0        137.741           22.8          86.020        135.741         81.678
     17/03/2008           2008             77         2827.9         7313.8        112.795           23.0           1.000        116.277         50.740
     14/03/2009           2009             73         3317.1         7238.4        127.359           24.6          86.000        146.207         82.096
