ApsimVersion = 7.5
Title = TemperateGrass daily
           Date           year            day      phenology         growth        leaf_dm        stem_dm      litter_dm          rtdep         urea()     CoverTotal   uptake_nh4()          nh4()   uptake_no3()          no3()      nit_tot()       glf_nitr         glf_sm        glf_tmp        glf_vpd     removed_dm       avail_dm
   (dd/mm/yyyy)         (year)          (day)            (-)      (kg/ha/d)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)             ()      (kg/ha/d)        (kg/ha)      (kg/ha/d)        (kg/ha)        (kg/ha)            (-)            (-)            (-)            (-)             ()        (kg/ha)
     01/01/1954           1954              1          0.000          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            1.9          0.000           70.3         7930.2          0.000          0.000          0.000          0.000              ?            0.0
     02/01/1954           1954              2          0.001          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            1.9          0.000           69.7         7930.4          0.000          0.000          0.000          0.000              ?            0.0
     03/01/1954           1954              3          0.002          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            1.9          0.000           69.2         7930.5          0.000          0.000          0.000          0.000              ?            0.0
     04/01/1954           1954              4          0.004          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            1.9          0.000           68.5         7930.8          0.000          0.000          0.000          0.000              ?            0.0
     05/01/1954           1954              5          0.006          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            2.0          0.000           68.1         7930.9          0.000          0.000          0.000          0.000              ?            0.0
     06/01/1954           1954              6          0.008          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            2.1          0.000           67.8         7931.0          0.000          0.000          0.000          0.000              ?            0.0
     07/01/1954           1954              7          0.011          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            2.2          0.000           67.8         7931.0          0.000          0.000          0.000          0.000              ?            0.0
     08/01/1954           1954              8          0.013          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            2.3          0.000           67.9         7931.0          0.000          0.000          0.000          0.000              ?            0.0
     09/01/1954           1954              9          0.015          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            2.4          0.000           67.9         7931.0          0.000          0.000          0.000          0.000              ?            0.0
     10/01/1954           1954             10          0.016          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            2.5          0.000           68.0         7931.0          0.000          0.000          0.000          0.000              ?            0.0
     11/01/1954           1954             11          0.017          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            2.6          0.000           68.1         7931.0          0.000          0.000          0.000          0.000              ?            0.0
     12/01/1954           1954             12          0.018          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            2.7          0.000           68.1         7931.0          0.000          0.000          0.000          0.000              ?            0.0
     13/01/1954           1954             13          0.019          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            2.8          0.000           68.2         7931.0          0.000          0.000          0.000          0.000              ?            0.0
     14/01/1954           1954             14          0.020          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            2.8          0.000           68.3         7931.0          0.000          0.000          0.000          0.000              ?            0.0
     15/01/1954           1954             15          0.021          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            2.9          0.000           68.3         7931.0          0.000          0.000          0.000          0.000              ?            0.0
     16/01/1954           1954             16          0.022          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            3.0          0.000           68.4         7931.0          0.000          0.000          0.000          0.000              ?            0.0
     17/01/1954           1954             17          0.023          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            3.1          0.000           68.0         7931.2          0.000          0.000          0.000          0.000              ?            0.0
     18/01/1954           1954             18          0.024          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            3.1          0.000           67.7         7931.4          0.000          0.000          0.000          0.000              ?            0.0
     19/01/1954           1954             19          0.025          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            3.2          0.000           67.6         7931.5          0.000          0.000          0.000          0.000              ?            0.0
     20/01/1954           1954             20          0.026          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            3.3          0.000           67.6         7931.5          0.000          0.000          0.000          0.000              ?            0.0
     21/01/1954           1954             21          0.027          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            3.5          0.000           67.7         7931.5          0.000          0.000          0.000          0.000              ?            0.0
     22/01/1954           1954             22          0.028          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            3.6          0.000           67.8         7931.5          0.000          0.000          0.000          0.000              ?            0.0
     23/01/1954           1954             23          0.029          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            3.7          0.000           67.9         7931.5          0.000          0.000          0.000          0.000              ?            0.0
     24/01/1954           1954             24          0.030          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            3.8          0.000           67.9         7931.5          0.000          0.000          0.000          0.000              ?            0.0
     25/01/1954           1954             25          0.031          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            3.9          0.000           68.0         7931.5          0.000          0.000          0.000          0.000              ?            0.0
     26/01/1954           1954             26          0.032          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            4.0          0.000           68.1         7931.5          0.000          0.000          0.000          0.000              ?            0.0
     27/01/1954           1954             27          0.033          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            4.1          0.000           68.1         7931.5          0.000          0.000          0.000          0.000              ?            0.0
     28/01/1954           1954             28          0.035          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            4.2          0.000           68.2         7931.5          0.000          0.000          0.000          0.000              ?            0.0
     29/01/1954           1954             29          0.036          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            4.3          0.000           68.2         7931.5          0.000          0.000          0.000          0.000              ?            0.0
     30/01/1954           1954             30          0.036          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            4.4          0.000           68.2         7931.5          0.000          0.000          0.000          0.000              ?            0.0
     31/01/1954           1954             31          0.037          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            4.6          0.000           68.2         7931.5          0.000          0.000          0.000          0.000              ?            0.0
     01/02/1954           1954             32          0.038          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            4.6          0.000           67.8         7931.7          0.000          0.000          0.000          0.000              ?            0.0
     02/02/1954           1954             33          0.039          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            4.6          0.000           67.5         7931.8          0.000          0.000          0.000          0.000              ?            0.0
     03/02/1954           1954             34          0.041          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            4.7          0.000           67.3         7931.9          0.000          0.000          0.000          0.000              ?            0.0
     04/02/1954           1954             35          0.042          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            4.8          0.000           67.1         7931.9          0.000          0.000          0.000          0.000              ?            0.0
     05/02/1954           1954             36          0.043          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            4.9          0.000           67.0         7932.0          0.000          0.000          0.000          0.000              ?            0.0
     06/02/1954           1954             37          0.045          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            5.0          0.000           67.0         7932.0          0.000          0.000          0.000          0.000              ?            0.0
     07/02/1954           1954             38          0.046          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            5.1          0.000           67.0         7932.0          0.000          0.000          0.000          0.000              ?            0.0
     08/02/1954           1954             39          0.047          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            5.2          0.000           67.0         7932.0          0.000          0.000          0.000          0.000              ?            0.0
     09/02/1954           1954             40          0.048          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            5.5          0.000           67.0         7932.0          0.000          0.000          0.000          0.000              ?            0.0
     10/02/1954           1954             41          0.049          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            5.7          0.000           67.0         7932.0          0.000          0.000          0.000          0.000              ?            0.0
     11/02/1954           1954             42          0.049          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            5.9          0.000           66.8         7932.1          0.000          0.000          0.000          0.000              ?            0.0
     12/02/1954           1954             43          0.050          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            6.1          0.000           66.7         7932.1          0.000          0.000          0.000          0.000              ?            0.0
     13/02/1954           1954             44          0.051          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            6.3          0.000           66.6         7932.0          0.000          0.000          0.000          0.000              ?            0.0
     14/02/1954           1954             45          0.052          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            6.5          0.000           66.6         7932.0          0.000          0.000          0.000          0.000              ?            0.0
     15/02/1954           1954             46          0.053          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            6.7          0.000           66.5         7932.0          0.000          0.000          0.000          0.000              ?            0.0
     16/02/1954           1954             47          0.053          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            6.9          0.000           66.4         7932.0          0.000          0.000          0.000          0.000              ?            0.0
     17/02/1954           1954             48          0.053          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            7.1          0.000           66.3         7932.1          0.000          0.000          0.000          0.000              ?            0.0
     18/02/1954           1954             49          0.054          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            7.3          0.000           66.4         7932.1          0.000          0.000          0.000          0.000              ?            0.0
     19/02/1954           1954             50          0.055          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            7.7          0.000           66.5         7932.1          0.000          0.000          0.000          0.000              ?            0.0
     20/02/1954           1954             51          0.056          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            8.1          0.000           66.6         7932.1          0.000          0.000          0.000          0.000              ?            0.0
     21/02/1954           1954             52          0.058          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            8.2          0.000           66.6         7932.2          0.000          0.000          0.000          0.000              ?            0.0
     22/02/1954           1954             53          0.059          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            8.5          0.000           66.5         7932.3          0.000          0.000          0.000          0.000              ?            0.0
     23/02/1954           1954             54          0.059          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            8.8          0.000           66.6         7932.3          0.000          0.000          0.000          0.000              ?            0.0
     24/02/1954           1954             55          0.060          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            9.2          0.000           66.7         7932.3          0.000          0.000          0.000          0.000              ?            0.0
     25/02/1954           1954             56          0.061          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            9.5          0.000           66.8         7932.3          0.000          0.000          0.000          0.000              ?            0.0
     26/02/1954           1954             57          0.062          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000            9.9          0.000           66.9         7932.3          0.000          0.000          0.000          0.000              ?            0.0
     27/02/1954           1954             58          0.062          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           10.3          0.000           67.0         7932.3          0.000          0.000          0.000          0.000              ?            0.0
     28/02/1954           1954             59          0.064          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           10.6          0.000           67.1         7932.3          0.000          0.000          0.000          0.000              ?            0.0
     01/03/1954           1954             60          0.065          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           10.9          0.000           67.2         7932.3          0.000          0.000          0.000          0.000              ?            0.0
     02/03/1954           1954             61          0.066          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           11.2          0.000           67.3         7932.3          0.000          0.000          0.000          0.000              ?            0.0
     03/03/1954           1954             62          0.067          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           11.5          0.000           67.4         7932.3          0.000          0.000          0.000          0.000              ?            0.0
     04/03/1954           1954             63          0.069          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           11.9          0.000           67.4         7932.3          0.000          0.000          0.000          0.000              ?            0.0
     05/03/1954           1954             64          0.070          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           12.2          0.000           67.5         7932.3          0.000          0.000          0.000          0.000              ?            0.0
     06/03/1954           1954             65          0.071          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           12.6          0.000           67.5         7932.3          0.000          0.000          0.000          0.000              ?            0.0
     07/03/1954           1954             66          0.072          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           12.9          0.000           67.6         7932.3          0.000          0.000          0.000          0.000              ?            0.0
     08/03/1954           1954             67          0.074          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           13.3          0.000           67.6         7932.3          0.000          0.000          0.000          0.000              ?            0.0
     09/03/1954           1954             68          0.076          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           13.7          0.000           67.6         7932.3          0.000          0.000          0.000          0.000              ?            0.0
     10/03/1954           1954             69          0.077          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           14.1          0.000           67.6         7932.3          0.000          0.000          0.000          0.000              ?            0.0
     11/03/1954           1954             70          0.079          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           14.4          0.000           67.7         7932.3          0.000          0.000          0.000          0.000              ?            0.0
     12/03/1954           1954             71          0.080          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           14.8          0.000           67.7         7932.3          0.000          0.000          0.000          0.000              ?            0.0
