ApsimVersion = 7.4
Title = TemperateGrassEstablished daily
           Date           year            day      phenology         growth        leaf_dm        stem_dm      litter_dm          rtdep         urea()      cover_tot   uptake_nh4()          nh4()   uptake_no3()          no3()      nit_tot()       glf_nitr         glf_sm        glf_tmp        glf_vpd     removed_dm       avail_dm
   (dd/mm/yyyy)         (year)          (day)            (-)      (kg/ha/d)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)      (m^2/m^2)      (kg/ha/d)        (kg/ha)      (kg/ha/d)        (kg/ha)        (kg/ha)            (-)            (-)            (-)            (-)             ()        (kg/ha)
     01/01/1954           1954              1          1.007          0.000         8733.0         1100.0          233.0        100.000            0.0          0.429          0.000            1.9          3.761           70.1         7930.2          1.000          0.000          1.000          1.000              ?         9433.0
     02/01/1954           1954              2          1.009          0.000         5356.5          686.4         3511.0        100.000            0.0          0.390          0.046            1.9          0.020           66.4         7926.4          1.000          0.000          1.000          1.000       3151.197         5619.6
     03/01/1954           1954              3          1.011          7.124         3909.7          494.1         3310.8        100.000            0.0          0.325          0.036            1.9          0.010           66.4         7926.4          1.000          0.685          1.000          1.000       1347.216         3663.5
     04/01/1954           1954              4          1.013          0.000         3260.6          402.4         2983.9        100.000            0.0          0.291          0.139            2.1          0.062           66.4         7926.3          1.000          0.449          1.000          1.000        569.618         2664.4
     05/01/1954           1954              5          1.015         17.368         2894.4          349.0         2760.7        100.000            0.0          0.267          0.072            2.2          0.032           66.4         7926.1          1.000          1.000          1.000          1.000        273.999         2047.0
     06/01/1954           1954              6          1.017         18.300         2699.3          326.1         2592.6        100.000            0.0          0.264          0.050            2.2          0.023           66.4         7926.1          1.000          1.000          1.000          1.000         95.940         1706.7
     07/01/1954           1954              7          1.019         19.240         2583.3          315.9         2480.5        100.000            0.0          0.267          0.106            2.3          0.048           66.4         7926.0          1.000          1.000          1.000          1.000         40.023         1487.9
     08/01/1954           1954              8          1.021         19.333         2532.2          317.2         2411.5        100.000            0.0          0.277          0.116            2.4          0.052           66.4         7925.9          1.000          1.000          1.000          1.000         40.023         1356.2
     09/01/1954           1954              9          1.023         18.399         2487.1          319.1         2349.0        100.000            0.0          0.287          0.090            2.4          0.040           66.4         7925.7          1.000          1.000          1.000          1.000         40.023         1247.6
     10/01/1954           1954             10          1.025         16.895         2448.6          321.2         2294.3        100.000            0.0          0.295          0.052            2.5          0.033           66.4         7925.6          1.000          0.939          1.000          1.000         40.023         1154.4
     11/01/1954           1954             11          1.027          0.000         2416.9          323.5         2248.0        100.000            0.0          0.303          0.020            2.6          0.018           66.4         7925.5          1.000          0.516          1.000          1.000         40.023         1074.0
     12/01/1954           1954             12          1.029          0.000         2371.6          320.8         2209.1        100.000            0.0          0.299          0.000            2.7          0.017           66.4         7925.5          1.000          0.208          1.000          1.000         40.023          979.5
     13/01/1954           1954             13          1.032          0.000         2327.1          318.1         2174.6        100.000            0.0          0.295          0.000            2.8          0.020           66.3         7925.5          1.000          0.000          1.000          1.000         40.023          890.8
     14/01/1954           1954             14          1.034          0.000         2285.1          315.5         2142.8        100.000            0.0          0.290          0.000            2.9          0.023           66.3         7925.5          1.000          0.000          1.000          1.000         40.023          810.0
     15/01/1954           1954             15          1.036          0.000         2242.2          312.7         2110.3        100.000            0.0          0.286          0.000            3.0          0.025           66.3         7925.4          1.000          0.000          1.000          1.000         40.023          735.5
     16/01/1954           1954             16          1.038          0.000         2200.7          310.1         2077.3        100.000            0.0          0.281          0.000            3.1          0.027           66.3         7925.4          1.000          0.000          1.000          1.000         40.023          668.9
     17/01/1954           1954             17          1.040          0.000         2160.2          307.4         2043.9        100.000            0.0          0.278          0.125            3.4          0.056           66.3         7925.4          1.000          0.000          1.000          1.000         40.023          617.9
     18/01/1954           1954             18          1.042         17.125         2120.0          304.8         2012.2        100.000            0.0          0.274          0.042            3.4          0.019           66.3         7925.2          1.000          1.000          1.000          1.000         40.023          576.8
     19/01/1954           1954             19          1.044          0.000         2063.8          304.5         1938.7        100.000            0.0          0.282          0.025            3.5          0.004           66.2         7925.2          1.000          0.577          1.000          1.000         40.023          535.9
     20/01/1954           1954             20          1.046          0.000         2018.5          301.5         1895.7        100.000            0.0          0.278          0.000            3.6          0.000           66.2         7925.1          1.000          0.186          1.000          1.000         40.023          502.6
     21/01/1954           1954             21          1.049          0.000         1976.3          298.5         1859.9        100.000            0.0          0.274          0.000            3.7          0.000           66.2         7925.1          1.000          0.000          1.000          1.000         40.023          474.4
     22/01/1954           1954             22          1.050          0.000         1936.3          295.6         1827.2        100.000            0.0          0.269          0.000            3.8          0.000           66.2         7925.2          1.000          0.000          1.000          1.000         40.023          450.2
     23/01/1954           1954             23          1.052          0.000         1898.9          292.9         1795.7        100.000            0.0          0.266          0.051            4.0          0.021           66.2         7925.2          1.000          0.003          1.000          1.000         40.023          428.3
     24/01/1954           1954             24          1.054         14.746         1862.3          290.3         1764.7        100.000            0.0          0.262          0.000            4.1          0.000           66.2         7925.1          1.000          0.678          1.000          1.000         40.023          408.9
     25/01/1954           1954             25          1.056         15.156         1832.4          291.2         1723.2        100.000            0.0          0.270          0.037            4.2          0.010           66.1         7925.1          1.000          0.762          1.000          1.000         40.023          391.9
     26/01/1954           1954             26          1.058          0.000         1801.8          292.6         1680.6        100.000            0.0          0.278          0.000            4.2          0.000           66.1         7925.1          1.000          0.359          1.000          1.000         40.023          376.1
     27/01/1954           1954             27          1.060          0.000         1762.5          289.5         1644.0        100.000            0.0          0.274          0.000            4.4          0.022           66.1         7925.1          1.000          0.000          1.000          1.000         40.023          362.4
     28/01/1954           1954             28          1.063          0.000         1726.6          286.6         1613.4        100.000            0.0          0.270          0.000            4.5          0.028           66.1         7925.1          1.000          0.000          1.000          1.000         40.023          350.7
     29/01/1954           1954             29          1.065          0.000         1691.4          283.6         1583.1        100.000            0.0          0.266          0.000            4.6          0.030           66.1         7925.0          1.000          0.000          1.000          1.000         40.023          341.1
     30/01/1954           1954             30          1.067          0.000         1656.9          280.6         1553.2        100.000            0.0          0.262          0.000            4.7          0.032           66.0         7925.0          1.000          0.000          1.000          1.000         40.023          333.4
     31/01/1954           1954             31          1.069          0.000         1623.4          277.6         1523.7        100.000            0.0          0.258          0.000            4.9          0.034           66.0         7925.0          1.000          0.000          1.000          1.000         40.023          326.9
     01/02/1954           1954             32          1.071          0.000         1590.4          274.6         1495.1        100.000            0.0          0.254          0.014            5.0          0.001           66.0         7924.9          1.000          0.000          1.000          1.000         40.023          321.9
     02/02/1954           1954             33          1.073          0.000         1558.3          271.6         1471.8        100.000            0.0          0.251          0.000            5.1          0.000           65.9         7924.9          1.000          0.127          1.000          1.000         40.023          317.9
     03/02/1954           1954             34          1.075          0.000         1526.2          268.6         1441.9        100.000            0.0          0.248          0.000            5.2          0.000           65.9         7924.9          1.000          0.000          1.000          1.000         40.023          313.7
     04/02/1954           1954             35          1.077          0.000         1496.9          265.9         1414.0        100.000            0.0          0.245          0.000            5.3          0.000           65.9         7925.0          1.000          0.000          1.000          1.000         40.023          308.8
     05/02/1954           1954             36          1.079          0.000         1468.1          263.2         1386.7        100.000            0.0          0.242          0.000            5.4          0.000           65.8         7925.0          1.000          0.000          1.000          1.000         40.023          304.7
     06/02/1954           1954             37          1.081          0.000         1439.6          260.4         1361.0        100.000            0.0          0.239          0.000            5.5          0.000           65.8         7925.0          1.000          0.000          1.000          1.000         40.023          301.8
