ApsimVersion = 7.10
Title = Wether in pasture crop rotation_WheatPaddock_DailyOutput.out
             Date          biomass    green_biomass animals_paddock[1] animals_paddock[2] animals_paddock[3]        cover_tot  surfaceom_cover
     (dd/MM/yyyy)          (kg/ha)          (kg/ha)                 ()                 ()                 ()               ()        (m^2/m^2)
       01/01/1990             0.00             0.00     pasturepaddock     pasturepaddock     pasturepaddock             0.00             0.35
       02/01/1990             0.00             0.00     pasturepaddock     pasturepaddock     pasturepaddock             0.00             0.35
       03/01/1990             0.00             0.00     pasturepaddock     pasturepaddock     pasturepaddock             0.00             0.35
       04/01/1990             0.00             0.00     pasturepaddock     pasturepaddock     pasturepaddock             0.00             0.35
       05/01/1990             0.00             0.00     pasturepaddock     pasturepaddock     pasturepaddock             0.00             0.35
       06/01/1990             0.00             0.00     pasturepaddock     pasturepaddock     pasturepaddock             0.00             0.35
       07/01/1990             0.00             0.00     pasturepaddock     pasturepaddock     pasturepaddock             0.00             0.35
       08/01/1990             0.00             0.00     pasturepaddock     pasturepaddock     pasturepaddock             0.00             0.35
       09/01/1990             0.00             0.00     pasturepaddock     pasturepaddock     pasturepaddock             0.00             0.34
       10/01/1990             0.00             0.00     pasturepaddock     pasturepaddock     pasturepaddock             0.00             0.33
       11/01/1990             0.00             0.00     pasturepaddock     pasturepaddock     pasturepaddock             0.00             0.32
       12/01/1990             0.00             0.00     pasturepaddock     pasturepaddock     pasturepaddock             0.00             0.31
       13/01/1990             0.00             0.00     pasturepaddock     pasturepaddock     pasturepaddock             0.00             0.31
       14/01/1990             0.00             0.00     pasturepaddock     pasturepaddock     pasturepaddock             0.00             0.31
       15/01/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       16/01/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       17/01/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       18/01/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       19/01/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       20/01/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       21/01/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       22/01/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       23/01/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       24/01/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       25/01/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       26/01/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       27/01/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       28/01/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       29/01/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       30/01/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       31/01/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       01/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       02/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       03/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       04/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       05/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       06/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       07/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.31
       08/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.30
       09/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.29
       10/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.28
       11/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.27
       12/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.26
       13/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.26
       14/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.26
       15/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.26
       16/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.26
       17/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.26
       18/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.25
       19/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.24
       20/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.24
       21/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.24
       22/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.24
       23/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.23
       24/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.22
       25/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.22
       26/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.22
       27/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.21
       28/02/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.20
       01/03/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.20
       02/03/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.20
       03/03/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.19
       04/03/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.19
       05/03/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.19
       06/03/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.19
       07/03/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.19
       08/03/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.19
       09/03/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.19
       10/03/1990             0.00             0.00            feedlot            feedlot            feedlot             0.00             0.19
