ApsimVersion = 7.10
Title = Wether in pasture crop rotation_WheatPaddock_Summary.out
             Date      Yield_kg/ha
     (dd/MM/yyyy)          (kg/ha)
       01/01/1990          4247.44
       01/01/1991          2877.38
       01/01/1992             0.00
       01/01/1993          4726.66
       01/01/1994             0.00
       01/01/1995          5171.45
       01/01/1996          3813.99
       01/01/1997          4053.74
       01/01/1998          3647.15
       01/01/1999          5305.08
       01/01/2000          4804.87
