ApsimVersion = 7.7
Title = agpasturePaddock pad
           Date AboveGroundLiveWt HerbageGrowthWt      HarvestWt SpeciesStandingLiveWt(1) SpeciesStandingLiveWt(2)      LAI_total      LAI_green       LAI_dead  CloverContent   surfaceom_wt
  (dd/mmm/yyyy)         (kgDM/ha)       (kgDM/ha)      (kgDM/ha)                (kgDM/ha)                (kgDM/ha)      (m^2/m^2)      (m^2/m^2)      (m^2/m^2)            (%)        (kg/ha)
    01/Jul/1980           996.850         -14.367        900.000                  712.443                  199.410          1.722          1.621          0.101         21.434         1296.9
    02/Jul/1980           997.505           5.456          0.000                  713.603                  199.489          1.731          1.621          0.110         21.431         1257.5
    03/Jul/1980           999.400           5.606          0.000                  715.519                  199.912          1.741          1.624          0.117         21.438         1225.8
    04/Jul/1980           997.434          -4.638          0.000                  713.514                  200.076          1.735          1.621          0.114         21.512         1224.5
    05/Jul/1980           991.467          -5.808          0.000                  709.272                  198.961          1.729          1.613          0.116         21.532         1213.1
    06/Jul/1980           985.660          -5.802          0.000                  705.145                  197.876          1.723          1.605          0.117         21.550         1202.5
    07/Jul/1980          1005.242          18.803          0.000                  721.104                  200.992          1.749          1.631          0.117         21.467         1195.5
    08/Jul/1980          1006.031           0.737          0.000                  721.399                  201.640          1.751          1.632          0.118         21.524         1185.9
    09/Jul/1980          1015.039          10.131          0.000                  728.405                  203.550          1.765          1.644          0.121         21.535         1171.3
    10/Jul/1980          1029.621          11.792          0.000                  741.396                  204.942          1.781          1.663          0.118         21.385         1171.1
    11/Jul/1980          1033.247          -0.914          0.000                  745.194                  204.830          1.780          1.668          0.112         21.311         1174.3
    12/Jul/1980          1038.651           3.078          0.000                  749.560                  205.781          1.784          1.674          0.110         21.305         1173.3
    13/Jul/1980          1034.498          -5.004          0.000                  746.587                  205.021          1.778          1.669          0.109         21.319         1168.3
    14/Jul/1980          1056.443          21.075          0.000                  764.830                  208.162          1.806          1.697          0.109         21.194         1163.5
    15/Jul/1980          1062.668           2.229          0.000                  770.978                  208.238          1.808          1.704          0.104         21.086         1166.3
    16/Jul/1980          1070.228           5.996          0.000                  777.569                  209.134          1.816          1.714          0.102         21.030         1164.6
    17/Jul/1980          1094.453          23.049          0.000                  798.412                  211.978          1.844          1.743          0.101         20.841         1161.9
    18/Jul/1980          1110.817          12.976          0.000                  813.102                  213.351          1.858          1.762          0.097         20.668         1164.0
    19/Jul/1980          1137.667          27.054          0.000                  834.993                  217.517          1.889          1.792          0.098         20.567         1157.5
    20/Jul/1980          1159.950          19.994          0.000                  854.379                  219.917          1.910          1.815          0.095         20.391         1157.8
    21/Jul/1980          1175.025          13.441          0.000                  867.306                  221.743          1.923          1.830          0.093         20.294         1156.6
    22/Jul/1980          1036.935           8.470        158.907                  760.485                  194.095          1.739          1.662          0.077         20.275         1207.8
    23/Jul/1980          1038.160           0.334          0.000                  761.272                  194.576          1.739          1.663          0.076         20.301         1204.9
    24/Jul/1980          1060.631          23.170          0.000                  780.358                  197.508          1.768          1.691          0.077         20.158         1196.0
    25/Jul/1980          1080.303          18.486          0.000                  797.952                  199.284          1.790          1.714          0.076         19.960         1194.0
    26/Jul/1980          1107.225          27.770          0.000                  819.804                  203.572          1.823          1.745          0.078         19.879         1184.9
    27/Jul/1980          1133.271          27.002          0.000                  841.256                  207.489          1.854          1.774          0.079         19.783         1175.4
    28/Jul/1980          1155.804          21.132          0.000                  861.245                  209.630          1.875          1.797          0.078         19.586         1174.1
    29/Jul/1980          1178.191          21.023          0.000                  881.400                  211.518          1.895          1.819          0.076         19.377         1172.9
    30/Jul/1980          1199.245          19.424          0.000                  900.409                  213.236          1.911          1.837          0.074         19.181         1172.5
    31/Jul/1980          1218.477          18.545          0.000                  917.643                  214.966          1.925          1.852          0.073         19.022         1170.0
    01/Aug/1980          1224.482           7.235          0.000                  922.197                  216.368          1.931          1.856          0.075         19.049         1161.0
    02/Aug/1980          1253.856          31.455          0.000                  946.328                  220.847          1.953          1.875          0.079         18.976         1147.0
    03/Aug/1980          1280.293          27.619          0.000                  968.884                  224.190          1.964          1.883          0.080         18.855         1137.2
    04/Aug/1980          1308.926          28.226          0.000                  993.535                  227.527          1.951          1.871          0.080         18.705         1133.5
    05/Aug/1980          1341.346          33.606          0.000                 1020.082                  232.466          1.951          1.869          0.082         18.636         1123.9
    06/Aug/1980          1373.164          35.015          0.000                 1044.999                  238.341          1.999          1.912          0.087         18.654         1103.5
    07/Aug/1980          1383.777          10.417          0.000                 1053.744                  240.001          2.014          1.927          0.087         18.635         1098.9
    08/Aug/1980          1404.174          20.440          0.000                 1071.198                  242.535          2.042          1.955          0.087         18.550         1093.5
    09/Aug/1980          1431.216          25.784          0.000                 1095.161                  245.108          2.077          1.992          0.085         18.381         1092.2
    10/Aug/1980          1456.920          23.559          0.000                 1117.815                  247.606          2.110          2.027          0.082         18.229         1092.8
    11/Aug/1980          1479.167          24.232          0.000                 1135.115                  251.842          2.143          2.058          0.085         18.256         1080.7
    12/Aug/1980          1046.853          -1.692        446.709                  785.763                  177.816          1.714          1.652          0.063         18.550         1173.8
    13/Aug/1980          1067.087          23.989          0.000                  803.505                  180.353          1.744          1.675          0.068         18.443         1136.1
    14/Aug/1980          1103.620          37.818          0.000                  833.928                  185.577          1.787          1.716          0.070         18.321         1120.9
    15/Aug/1980          1097.447          -3.509          0.000                  829.742                  184.446          1.784          1.709          0.074         18.315         1094.2
    16/Aug/1980          1092.510          -3.369          0.000                  826.384                  183.542          1.781          1.704          0.077         18.309         1077.1
    17/Aug/1980          1113.864          20.795          0.000                  845.649                  185.399          1.803          1.727          0.076         18.122         1072.3
    18/Aug/1980          1150.746          36.264          0.000                  878.127                  189.103          1.838          1.763          0.075         17.866         1067.9
    19/Aug/1980          1190.853          40.450          0.000                  912.158                  194.222          1.873          1.797          0.076         17.706         1059.3
    20/Aug/1980          1207.257          16.402          0.000                  926.036                  196.471          1.885          1.809          0.076         17.654         1052.5
    21/Aug/1980          1238.060          29.310          0.000                  953.804                  199.008          1.898          1.824          0.074         17.417         1051.5
    22/Aug/1980          1284.680          46.472          0.000                  993.910                  204.429          1.888          1.814          0.073         17.215         1046.2
    23/Aug/1980          1331.504          50.062          0.000                 1032.409                  211.561          1.911          1.833          0.078         17.169         1022.0
    24/Aug/1980          1379.912          50.372          0.000                 1071.956                  219.028          1.981          1.900          0.081         17.129         1007.1
    25/Aug/1980          1388.254          12.520          0.000                 1079.279                  220.387          1.998          1.911          0.087         17.130          978.1
    26/Aug/1980          1382.192          -4.046          0.000                 1075.064                  219.294          1.993          1.903          0.090         17.121          960.8
    27/Aug/1980          1431.289          49.760          0.000                 1116.202                  225.950          2.061          1.970          0.091         17.013          951.4
    28/Aug/1980          1461.619          29.442          0.000                 1142.260                  229.545          2.102          2.012          0.090         16.909          948.5
    29/Aug/1980          1513.878          53.056          0.000                 1186.225                  236.468          2.175          2.084          0.091         16.796          939.6
    30/Aug/1980          1557.444          46.386          0.000                 1221.857                  243.235          2.239          2.143          0.095         16.778          921.2
    31/Aug/1980          1617.927          62.212          0.000                 1271.846                  251.978          2.324          2.226          0.098         16.711          909.2
